"SubjID","Sess","Classroom","Gender","Race","Level_Code","pre_scaled","post_scaled","gain_scaled","Form_Order","PreACorr","PostBCorr","PreBCorr","PostACorr","PreScore","PostScore","Gain","preacorr_adj","postbcorr_adj","prebcorr_adj","postacorr_adj","Zpreacorr_adj","Zpostbcorr_adj","Zprebcorr_adj","Zpostacorr_adj","scale_prea","scale_preb","scale_posta","scale_postb","Flagged","Last_Row","Gain_again"
"S257","s11-02",11,1,7,2,61,57,-4,1,12,11,"#NULL!","#NULL!",12,11,-1,12,10,"#NULL!","#NULL!",1.12,0.25,"#NULL!","#NULL!",61,"#NULL!","#NULL!",57,0,"#NULL!",-1
"S258","s11-03",11,1,7,2,54,56,2,2,"#NULL!","#NULL!",10,10,10,10,0,"#NULL!","#NULL!",9,10,"#NULL!","#NULL!",0.41,0.04,"#NULL!",54,56,"#NULL!",0,62,0
"S259","s11-14",11,2,2,2,61,78,17,1,12,19,"#NULL!","#NULL!",12,19,7,12,17,"#NULL!","#NULL!",1.12,1.99,"#NULL!","#NULL!",61,"#NULL!","#NULL!",78,0,62,7
"S260","s11-01",11,1,7,2,57,64,7,2,"#NULL!","#NULL!",12,13,12,13,1,"#NULL!","#NULL!",10,13,"#NULL!","#NULL!",0.71,0.85,"#NULL!",57,64,"#NULL!",0,"#NULL!",1
"S261","s11-10",11,1,7,2,53,45,-8,1,9,6,"#NULL!","#NULL!",9,6,-3,9,6,"#NULL!","#NULL!",0.27,-0.74,"#NULL!","#NULL!",53,"#NULL!","#NULL!",45,0,62,-3
"S262","s11-11",11,1,7,2,51,56,5,2,"#NULL!","#NULL!",9,10,9,10,1,"#NULL!","#NULL!",8,10,"#NULL!","#NULL!",0.11,0.04,"#NULL!",51,56,"#NULL!",0,62,1
"S263","s11-06",11,2,2,2,58,54,-4,1,11,9,"#NULL!","#NULL!",11,9,-2,11,9,"#NULL!","#NULL!",0.84,0,"#NULL!","#NULL!",58,"#NULL!","#NULL!",54,0,"#NULL!",-2
"S269","s12-13",12,2,6,6,36,39,3,1,3,4,"#NULL!","#NULL!",3,4,1,3,4,"#NULL!","#NULL!",-1.42,-1.24,"#NULL!","#NULL!",36,"#NULL!","#NULL!",39,0,38,1
"S270","s12-12",12,1,6,6,27,39,12,2,"#NULL!","#NULL!",0,4,0,4,4,"#NULL!","#NULL!",0,4,"#NULL!","#NULL!",-2.29,-1.59,"#NULL!",27,39,"#NULL!",0,34,4
"S271","s12-16",12,1,6,6,33,36,3,1,2,3,"#NULL!","#NULL!",2,3,1,2,3,"#NULL!","#NULL!",-1.71,-1.49,"#NULL!","#NULL!",33,"#NULL!","#NULL!",36,0,"#NULL!",1
"S272","s12-05",12,2,6,6,30,44,14,2,"#NULL!","#NULL!",1,7,1,7,6,"#NULL!","#NULL!",1,6,"#NULL!","#NULL!",-1.99,-1.05,"#NULL!",30,44,"#NULL!",0,30,6
"S273","s12-03",12,2,6,6,33,39,6,1,2,4,"#NULL!","#NULL!",2,4,2,2,4,"#NULL!","#NULL!",-1.71,-1.24,"#NULL!","#NULL!",33,"#NULL!","#NULL!",39,0,62,2
"S274","s12-06",12,1,6,6,36,39,3,2,"#NULL!","#NULL!",3,5,3,5,2,"#NULL!","#NULL!",3,4,"#NULL!","#NULL!",-1.39,-1.59,"#NULL!",36,39,"#NULL!",0,"#NULL!",2
