"SubjID","Sess","Classroom","Gender","Race","Level_Code","pre_scaled","post_scaled","gain_scaled","Form_Order","PreACorr","PostBCorr","PreBCorr","PostACorr","PreScore","PostScore","Gain","preacorr_adj","postbcorr_adj","prebcorr_adj","postacorr_adj","Zpreacorr_adj","Zpostbcorr_adj","Zprebcorr_adj","Zpostacorr_adj","scale_prea","scale_preb","scale_posta","scale_postb","Flagged","Last_Row","Gain_again"
"S191","#NULL!",7,2,3,4,54,44,-10,1,"#NULL!","#NULL!",9,6,9,6,-3,"#NULL!","#NULL!",9,6,"#NULL!","#NULL!",0.41,-1.05,"#NULL!",54,44,"#NULL!",0,"#NULL!",-3
"S192","#NULL!",7,2,7,4,44,36,-8,2,6,3,"#NULL!","#NULL!",6,3,-3,6,3,"#NULL!","#NULL!",-0.58,-1.49,"#NULL!","#NULL!",44,"#NULL!","#NULL!",36,0,"#NULL!",-3
"S193","#NULL!",7,2,3,4,54,61,7,1,"#NULL!","#NULL!",10,13,10,13,3,"#NULL!","#NULL!",9,12,"#NULL!","#NULL!",0.41,0.58,"#NULL!",54,61,"#NULL!",0,"#NULL!",3
"S205","#NULL!",8,1,7,4,56,45,-11,1,10,6,"#NULL!","#NULL!",10,6,-4,10,6,"#NULL!","#NULL!",0.55,-0.74,"#NULL!","#NULL!",56,"#NULL!","#NULL!",45,0,"#NULL!",-4
"S206","#NULL!",8,1,3,4,51,53,2,2,"#NULL!","#NULL!",9,9,9,9,0,"#NULL!","#NULL!",8,9,"#NULL!","#NULL!",0.11,-0.23,"#NULL!",51,53,"#NULL!",0,"#NULL!",0
"S207","#NULL!",8,1,3,4,61,45,-16,1,12,6,"#NULL!","#NULL!",12,6,-6,12,6,"#NULL!","#NULL!",1.12,-0.74,"#NULL!","#NULL!",61,"#NULL!","#NULL!",45,0,"#NULL!",-6
"S224","#NULL!",9,2,8,2,47,54,7,1,7,9,"#NULL!","#NULL!",7,9,2,7,9,"#NULL!","#NULL!",-0.29,0,"#NULL!","#NULL!",47,"#NULL!","#NULL!",54,0,"#NULL!",2
"S225","#NULL!",9,2,6,2,36,56,20,2,"#NULL!","#NULL!",3,10,3,10,7,"#NULL!","#NULL!",3,10,"#NULL!","#NULL!",-1.39,0.04,"#NULL!",36,56,"#NULL!",0,"#NULL!",7
"S226","#NULL!",9,2,7,2,64,66,2,1,13,13,"#NULL!","#NULL!",13,13,0,13,13,"#NULL!","#NULL!",1.4,1,"#NULL!","#NULL!",64,"#NULL!","#NULL!",66,0,"#NULL!",0
"S227","#NULL!",9,1,5,2,42,53,11,2,"#NULL!","#NULL!",6,10,6,10,4,"#NULL!","#NULL!",5,9,"#NULL!","#NULL!",-0.79,-0.23,"#NULL!",42,53,"#NULL!",0,"#NULL!",4
"S244","#NULL!",10,1,7,2,70,57,-13,1,15,11,"#NULL!","#NULL!",15,11,-4,15,10,"#NULL!","#NULL!",1.97,0.25,"#NULL!","#NULL!",70,"#NULL!","#NULL!",57,0,"#NULL!",-4
"S245","#NULL!",10,1,8,2,72,78,6,2,"#NULL!","#NULL!",15,18,15,18,3,"#NULL!","#NULL!",15,18,"#NULL!","#NULL!",2.21,2.2,"#NULL!",72,78,"#NULL!",0,"#NULL!",3
"S246","#NULL!",10,1,7,2,41,45,4,1,5,7,"#NULL!","#NULL!",5,7,2,5,6,"#NULL!","#NULL!",-0.86,-0.74,"#NULL!","#NULL!",41,"#NULL!","#NULL!",45,0,"#NULL!",2
"S247","#NULL!",10,2,3,2,45,41,-4,2,"#NULL!","#NULL!",6,5,6,5,-1,"#NULL!","#NULL!",6,5,"#NULL!","#NULL!",-0.49,-1.32,"#NULL!",45,41,"#NULL!",0,"#NULL!",-1
"S248","#NULL!",10,1,6,2,47,48,1,1,7,7,"#NULL!","#NULL!",7,7,0,7,7,"#NULL!","#NULL!",-0.29,-0.49,"#NULL!","#NULL!",47,"#NULL!","#NULL!",48,0,"#NULL!",0
"S264","#NULL!",11,1,7,2,58,54,-4,1,11,9,"#NULL!","#NULL!",11,9,-2,11,9,"#NULL!","#NULL!",0.84,0,"#NULL!","#NULL!",58,"#NULL!","#NULL!",54,0,"#NULL!",-2
"S265","#NULL!",11,1,7,2,54,61,7,2,"#NULL!","#NULL!",9,12,9,12,3,"#NULL!","#NULL!",9,12,"#NULL!","#NULL!",0.41,0.58,"#NULL!",54,61,"#NULL!",0,"#NULL!",3
"S266","#NULL!",11,2,7,2,50,51,1,1,9,9,"#NULL!","#NULL!",9,9,0,8,8,"#NULL!","#NULL!",-0.01,-0.25,"#NULL!","#NULL!",50,"#NULL!","#NULL!",51,0,"#NULL!",0
"S267","#NULL!",11,2,7,2,63,76,13,2,"#NULL!","#NULL!",12,17,12,17,5,"#NULL!","#NULL!",12,17,"#NULL!","#NULL!",1.31,1.93,"#NULL!",63,76,"#NULL!",0,"#NULL!",5
"S268","#NULL!",11,2,7,2,58,72,14,1,11,15,"#NULL!","#NULL!",11,15,4,11,15,"#NULL!","#NULL!",0.84,1.49,"#NULL!","#NULL!",58,"#NULL!","#NULL!",72,0,"#NULL!",4
"S286","#NULL!",12,2,6,6,27,27,0,2,0,1,"#NULL!","#NULL!",0,1,1,0,0,"#NULL!","#NULL!",-2.27,-2.23,"#NULL!","#NULL!",27,"#NULL!","#NULL!",27,0,"#NULL!",1
"S287","#NULL!",12,1,6,6,30,36,6,1,"#NULL!","#NULL!",1,3,1,3,2,"#NULL!","#NULL!",1,3,"#NULL!","#NULL!",-1.99,-1.86,"#NULL!",30,36,"#NULL!",0,"#NULL!",2
"S288","#NULL!",12,2,"#NULL!",6,27,45,18,2,0,6,"#NULL!","#NULL!",0,6,6,0,6,"#NULL!","#NULL!",-2.27,-0.74,"#NULL!","#NULL!",27,"#NULL!","#NULL!",45,0,"#NULL!",6
"S289","#NULL!",12,2,6,6,33,50,17,1,"#NULL!","#NULL!",3,8,3,8,5,"#NULL!","#NULL!",2,8,"#NULL!","#NULL!",-1.69,-0.5,"#NULL!",33,50,"#NULL!",0,"#NULL!",5
"S290","#NULL!",12,2,8,6,33,39,6,2,2,6,"#NULL!","#NULL!",2,6,4,2,4,"#NULL!","#NULL!",-1.71,-1.24,"#NULL!","#NULL!",33,"#NULL!","#NULL!",39,0,"#NULL!",4
"S309","#NULL!",13,1,"#NULL!",3,41,36,-5,1,5,4,"#NULL!","#NULL!",5,4,-1,5,3,"#NULL!","#NULL!",-0.86,-1.49,"#NULL!","#NULL!",41,"#NULL!","#NULL!",36,0,"#NULL!",-1
"S310","#NULL!",13,2,7,3,45,36,-9,2,"#NULL!","#NULL!",7,3,7,3,-4,"#NULL!","#NULL!",6,3,"#NULL!","#NULL!",-0.49,-1.86,"#NULL!",45,36,"#NULL!",0,"#NULL!",-4
"S311","#NULL!",13,2,3,3,41,33,-8,1,6,2,"#NULL!","#NULL!",6,2,-4,5,2,"#NULL!","#NULL!",-0.86,-1.74,"#NULL!","#NULL!",41,"#NULL!","#NULL!",33,0,"#NULL!",-4
"S312","#NULL!",13,2,3,3,36,47,11,2,"#NULL!","#NULL!",4,7,4,7,3,"#NULL!","#NULL!",3,7,"#NULL!","#NULL!",-1.39,-0.78,"#NULL!",36,47,"#NULL!",0,"#NULL!",3
"S313","#NULL!",13,1,8,3,44,36,-8,1,6,3,"#NULL!","#NULL!",6,3,-3,6,3,"#NULL!","#NULL!",-0.58,-1.49,"#NULL!","#NULL!",44,"#NULL!","#NULL!",36,0,"#NULL!",-3
"S314","#NULL!",13,2,3,3,41,51,10,1,5,8,"#NULL!","#NULL!",5,8,3,5,8,"#NULL!","#NULL!",-0.86,-0.25,"#NULL!","#NULL!",41,"#NULL!","#NULL!",51,0,"#NULL!",3
"S321","#NULL!",14,1,4,3,33,33,0,1,2,2,"#NULL!","#NULL!",2,2,0,2,2,"#NULL!","#NULL!",-1.71,-1.74,"#NULL!","#NULL!",33,"#NULL!","#NULL!",33,0,"#NULL!",0
"S322","#NULL!",14,2,8,3,42,50,8,2,"#NULL!","#NULL!",5,8,5,8,3,"#NULL!","#NULL!",5,8,"#NULL!","#NULL!",-0.79,-0.5,"#NULL!",42,50,"#NULL!",0,"#NULL!",3
"S339","#NULL!",15,1,3,5,27,27,0,1,1,0,"#NULL!","#NULL!",1,0,-1,0,0,"#NULL!","#NULL!",-2.27,-2.23,"#NULL!","#NULL!",27,"#NULL!","#NULL!",27,0,"#NULL!",-1
"S340","#NULL!",15,2,7,2,48,58,10,2,"#NULL!","#NULL!",7,11,7,11,4,"#NULL!","#NULL!",7,11,"#NULL!","#NULL!",-0.19,0.31,"#NULL!",48,58,"#NULL!",0,"#NULL!",4
"S341","#NULL!",15,1,7,2,53,57,4,1,9,10,"#NULL!","#NULL!",9,10,1,9,10,"#NULL!","#NULL!",0.27,0.25,"#NULL!","#NULL!",53,"#NULL!","#NULL!",57,0,"#NULL!",1
"S342","#NULL!",15,2,6,2,48,44,-4,2,"#NULL!","#NULL!",8,6,8,6,-2,"#NULL!","#NULL!",7,6,"#NULL!","#NULL!",-0.19,-1.05,"#NULL!",48,44,"#NULL!",0,"#NULL!",-2
