s10-05,"NA","rzvylfpurzryvn",NA,3,"8:15:39 AM","2/2/2006",1,1,63,16,47,0,"00:32:40",1,1,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,1,2,2,1,2,2
s10-06,"NA","wravsyrvfpunpxre",NA,2,"8:14:39 AM","2/2/2006",2,1,  63,30,33,0,"00:31:04",2,2,2,2,2,1,2,1,1,2,2,1,2,2,1,1,1,1,2,2,1,1,1,1,1,1,2,1,1,1,2
s10-07,"NA","wraavsrepuvpn",NA,1,"8:15:47 AM","2/2/2006",2,2,  63,22,41,0,"00:39:01",2,1,2,1,1,1,1,2,1,1,1,1,2,1,2,2,1,1,1,1,1,1,2,1,2,1,1,1,1,1,2
s10-08,"NA","WbuaZvyyre",NA,3,"8:14:29 AM","2/2/2006",1,1,63,38,25,0,"00:42:54",2,1,2,2,2,1,1,2,1,2,2,1,2,2,2,1,2,1,2,2,2,2,2,1,1,1,1,1,2,1,2
s10-09,"NA","wbanungjbbq",NA,1,"8:14:30 AM","2/2/2006",2,2, 63,14,49,0,"00:24:56",1,1,1,1,1,2,1,1,2,2,1,1,1,1,2,2,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1
s10-10,"NA","yvyvorguebqevthrm",NA,1,"8:15:13 AM","2/2/2006",2,2, 63,37,25,1,"00:38:05",2,1,1,2,2,1,1,2,1,1,2,1,1,2,2,2,2,2,1,2,1,1,1,2,1,2,2,2,1,2,2
s10-11,"NA","zrtnazbena",NA,1,"8:15:36 AM","2/2/2006",2,2, 63,24,39,0,"00:37:28",2,1,2,2,1,1,1,2,1,2,1,1,1,1,2,2,1,2,2,2,1,1,2,1,1,1,1,1,1,1,1
s10-12,"NA","zvxrgvatra",NA,1,"8:15:37 AM","2/2/2006",2,2, 63,18,45,0,"00:37:33",2,1,1,2,1,1,1,1,1,1,2,1,2,1,1,1,1,2,1,2,1,1,1,1,1,1,1,1,1,1,1
s10-13,"NA","avqnevmiv",NA,2,"8:14:40 AM","2/2/2006",2,1,  63,33,30,0,"00:32:32",2,2,2,1,1,1,1,2,1,1,2,1,2,2,1,1,2,1,2,2,2,2,2,1,1,2,1,2,2,1,2
s10-14,"NA","enquvxnqrfnv",NA,2,"8:16:07 AM","2/2/2006",2,1, 63,24,39,0,"00:44:17",1,1,1,2,2,1,1,1,1,2,2,1,2,1,2,2,2,1,2,2,1,1,1,1,1,1,1,2,1,1,1
s10-15,"NA","fnenfnaqbiny",NA,3,"8:15:42 AM","2/2/2006",1,1,63,32,31,0,"00:40:25",1,1,2,2,2,1,2,2,2,1,2,1,1,2,2,2,1,2,2,2,1,1,1,2,2,1,1,1,2,2,1
s10-16,"NA","GurbqberJbhoaru",NA,1,"8:16:06 AM","2/2/2006",2,2, 63,26,23,14,"00:44:60",1,1,2,1,2,1,1,2,1,2,2,2,2,2,2,2,2,NA,NA,2,1,1,2,1,1,2,NA,NA,NA,NA,NA
s11-01,"NA","oevnaanfpurvq",NA,3,"10:30:44 AM","2/2/2006",1,1,63,29,34,0,"00:33:52",2,1,1,2,2,1,1,1,2,2,1,1,2,2,2,2,1,2,1,2,2,2,2,1,1,2,2,1,1,1,1
s11-02,"NA","oevggnalneabyq",NA,3,"10:32:21 AM","2/2/2006",1,1,63,20,43,0,"00:19:01",2,1,2,1,2,1,1,1,1,1,1,1,1,1,2,1,1,1,2,2,2,2,1,1,1,2,1,1,1,1,1
s11-03,"NA","puryfrncbuy",NA,1,"10:32:16 AM","2/2/2006",2,2, 63,24,39,0,"00:24:45",2,1,2,2,1,1,2,1,1,1,2,1,1,2,2,2,1,1,2,2,1,1,1,1,1,1,1,2,1,1,1
s11-04,"NA","qnavryunfgvatf",NA,1,"10:32:19 AM","2/2/2006",2,2, 63,15,48,0,"00:34:06",1,1,2,1,1,1,1,1,1,1,2,1,1,2,1,1,1,1,1,2,1,1,1,2,2,1,1,1,1,1,1
s11-05,"NA","qrerxnfner",NA,2,"10:32:01 AM","2/2/2006",2,1,  63,20,43,0,"00:44:18",1,1,2,1,1,2,1,2,1,1,2,1,1,2,2,2,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1
s11-06,"NA","qvkvgcngry",NA,3,"10:32:22 AM","2/2/2006",1,1,63,28,35,0,"00:40:05",1,1,2,2,2,2,1,1,2,2,1,1,1,2,2,2,1,1,1,2,1,1,1,1,1,2,2,2,1,2,1
s11-07,"NA","revpnfhgureynaq",NA,1,"10:31:37 AM","2/2/2006",2,2, 63,7,56,0,"00:18:56",1,1,1,1,1,1,1,2,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,2,1,1,1,2,1
s11-08,"NA","rintebgr",NA,1,"10:32:45 AM","2/2/2006",2,2, 63,34,29,0,"00:36:30",1,2,2,2,2,1,1,2,1,1,1,1,2,2,2,2,1,2,2,2,2,2,2,2,2,1,1,1,1,1,1
s11-09,"NA","whfgvauhzcuerl",NA,3,"10:31:47 AM","2/2/2006",1,1,63,46,17,0,"00:44:48",2,1,2,2,2,1,2,1,2,2,2,1,1,2,2,2,1,2,2,2,2,2,2,2,1,1,2,1,1,2,2
s11-10,"NA","xnvgylazptengu",NA,1,"10:32:42 AM","2/2/2006",2,2,  63,23,40,0,"00:29:25",2,1,2,2,2,1,2,1,1,1,2,1,2,1,1,1,2,1,1,2,1,1,1,1,2,2,1,2,1,2,1
s11-11,"NA","flqarlcranyire",NA,2,"10:32:24 AM","2/2/2006",2,1,  63,18,45,0,"00:25:39",1,1,2,2,1,1,1,1,1,1,2,1,1,1,1,1,2,1,2,2,1,1,1,1,1,2,1,1,1,2,1
s11-12,"NA","gbznctne",NA,3,"10:32:27 AM","2/2/2006",1,1,63,26,37,0,"00:22:36",2,1,2,1,2,1,1,1,2,1,1,1,1,2,2,2,1,1,1,2,1,1,1,1,2,2,1,1,1,2,2
s11-13,"NA","inyrevrtvypuevfg",NA,2,"10:32:25 AM","2/2/2006",2,1, 63,26,37,0,"00:29:14",2,2,2,1,2,2,1,1,1,1,1,1,2,1,2,2,1,2,1,2,1,1,1,1,1,2,1,2,1,2,1
s11-14,"NA","MnpuevnUnfnav",NA,2,"10:31:56 AM","2/2/2006",2,1,  63,35,27,1,"00:31:56",2,1,2,2,2,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2,1,2,2,1,1,2,2,1,1,1,2
s11-15,"NA","qnavryyrivyynagr",NA,2,"10:32:15 AM","2/2/2006",2,1,  63,13,49,0,"00:38:45",2,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,2,1,2,1,1,1,1,NA
s12-01,"NA","PBAFRCPVBAGEHWVYB",NA,1,"1:03:18 PM","2/2/2006",2,2, 63,6,57,0,"00:35:22",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,2,1
s12-02,"NA","qvnanthnqnyhcr",NA,3,"1:03:26 PM","2/2/2006",1,1,63,13,50,0,"00:23:10",1,1,1,1,2,1,1,1,1,1,1,1,1,2,1,2,1,1,1,2,1,1,1,1,1,1,2,2,1,2,1
s12-03,"NA","senaxyvadhvmucv",NA,2,"1:03:21 PM","2/2/2006",2,1,  63,7,56,0,"00:39:28",1,1,1,2,1,1,1,1,1,1,1,1,1,2,1,1,1,1,2,1,1,1,1,2,1,1,2,1,1,1,1
s12-04,"NA","wntenwfvatu",NA,2,"1:03:18 PM","2/2/2006",2,1,  63,5,58,0,"00:32:06",1,1,1,1,1,1,1,1,1,1,1,1,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,2
s12-05,"NA","wrsserlenqn",NA,1,"1:03:10 PM","2/2/2006",2,2, 63,8,22,33,"00:44:60",1,1,NA,2,1,2,1,1,NA,1,2,NA,1,2,NA,NA,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
s12-06,"NA","xneragnuhn",NA,3,"1:03:09 PM","2/2/2006",1,1,63,10,53,0,"00:22:25",1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,2,2,1,2,1,1,1,1,1
s12-07,"NA","ynhenzneva",NA,1,"1:03:40 PM","2/2/2006",2,2,  63,9,30,23,"00:44:60",1,1,1,2,1,1,1,2,1,1,2,1,1,2,NA,1,NA,1,1,1,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA
s12-08,"NA","yrfyvrureanaqrm",NA,2,"1:03:17 PM","2/2/2006",2,1,  63,5,24,34,"00:44:60",1,NA,NA,1,1,1,1,1,2,2,1,NA,1,1,NA,2,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
s12-09,"NA","yhvffnapurm",NA,1,"1:03:11 PM","2/2/2006",2,2, 63,2,36,25,"00:44:60",1,1,1,1,1,2,1,1,NA,1,1,1,1,1,2,1,NA,1,NA,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
s12-10,"NA","znlabezberab",NA,3,"1:03:38 PM","2/2/2006",1,1,63,9,41,13,"00:41:42",1,1,2,2,1,1,NA,1,1,1,NA,NA,NA,NA,1,1,2,1,1,1,1,2,1,2,NA,1,1,2,1,1,1
s12-11,"NA","zvygbamnehzn",NA,2,"1:03:16 PM","2/2/2006",2,1,  63,7,23,33,"00:44:60",2,1,NA,2,2,2,1,1,1,NA,1,NA,1,2,NA,1,NA,1,1,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA
s12-12,"NA","avpbyroravgrm",NA,2,"1:03:13 PM","2/2/2006",2,1, 63,12,22,29,"00:44:60",1,1,1,1,2,1,1,1,2,NA,NA,1,1,2,2,1,1,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA
s12-13,"NA","cnhysyberf",NA,1,"1:03:21 PM","2/2/2006",2,2, 63,16,22,25,"00:44:60",1,1,2,2,2,2,1,1,2,2,1,1,1,2,1,1,NA,1,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
s12-14,"NA","cheivcngry",NA,1,"1:03:41 PM","2/2/2006",2,2, 63,9,54,0,"00:28:03",1,1,1,2,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,2,2,1,1,1,1,1
s12-15,"NA","evpneqbenzverm",NA,2,"1:03:30 PM","2/2/2006",2,1,  63,3,17,43,"00:44:47",NA,NA,NA,1,1,1,1,1,NA,NA,2,1,1,1,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA
s12-16,"NA","fgrcunavrwvzrarm",NA,3,"1:03:13 PM","2/2/2006",1,1,63,11,29,23,"00:42:58",1,1,2,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,1,1,1,1,2,1,1,1,NA,NA,1,1,1,1,2,1
s12-17,"NA","fhfflzbeiryv",NA,3,"1:03:48 PM","2/2/2006",1,1,63,13,50,0,"00:39:49",1,1,1,2,1,1,1,2,1,1,1,1,1,2,2,1,1,1,1,1,1,1,1,1,1,1,2,2,1,2,1
s13-01,"NA","nfunagvorexryrl",NA,2,"8:18:56 AM","2/3/2006",2,1,  63,19,21,23,"00:44:60",1,2,NA,2,2,1,1,1,1,NA,NA,1,2,2,2,2,1,2,2,NA,2,2,2,NA,NA,NA,NA,NA,NA,1,NA
s13-02,"NA","nyoregbnyinerm",NA,3,"8:16:06 AM","2/3/2006",1,1,63,10,53,0,"00:20:46",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,1,1,1,1,1,2,1,1,1
s13-03,"NA","oenaqracrryr",NA,3,"8:16:57 AM","2/3/2006",1,1,63,18,39,6,"00:44:60",1,1,1,1,2,2,NA,1,1,1,NA,NA,1,2,1,1,1,1,2,2,2,2,1,1,1,2,1,2,2,2,2
s13-04,"NA","oevnaantnepvn",NA,3,"8:16:45 AM","2/3/2006",1,1,63,28,35,0,"00:26:40",2,1,2,2,2,2,1,2,2,2,1,1,1,1,2,2,1,1,1,2,1,1,1,1,1,2,1,2,1,1,1
s13-05,"NA","oevggnalgnlybe",NA,2,"8:17:06 AM","2/3/2006",2,1,  63,12,49,0,"00:25:53",1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,2,1,2,1,1,1,1,2,1,2,1,2,NA,1
s13-06,"NA","puryfrnfvzcfba",NA,1,"8:20:21 AM","2/3/2006",2,2, 63,7,56,0,"00:13:35",1,1,1,2,1,1,1,1,1,1,1,1,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1
s13-07,"NA","plaguvnwbfrcu2",NA,1,"8:36:58 AM","2/3/2006",2,2, 63,17,46,0,"00:23:33",1,1,1,1,2,1,1,2,1,1,1,1,2,2,2,1,1,1,1,2,1,1,1,2,2,1,1,2,1,2,2
s13-08,"NA","qnavryjnlavpx2",NA,3,"8:41:15 AM","2/3/2006",1,1,63,24,39,0,"00:22:04",1,2,2,1,1,2,1,1,2,1,1,1,2,1,1,1,1,2,1,2,2,2,1,1,1,1,1,1,2,1,1
s13-09,"NA","rqhneqbybcrm",NA,2,"8:16:46 AM","2/3/2006",2,1, 63,12,51,0,"00:20:35",1,1,1,1,1,1,1,1,1,2,1,1,1,2,2,1,1,1,1,2,1,1,1,1,1,1,1,1,1,2,1
s13-10,"NA","VnaAlnguv",NA,2,"8:15:56 AM","2/3/2006",2,1,  63,12,18,33,"00:44:60",NA,NA,NA,2,1,1,1,1,2,NA,NA,1,1,2,2,2,1,NA,NA,NA,1,1,NA,NA,1,NA,NA,NA,NA,NA,NA
s13-11,"NA","wrnalirfqrebfr",NA,2,"8:15:24 AM","2/3/2006",2,1,  63,14,47,0,"00:31:20",1,1,1,2,1,2,1,1,2,2,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,2,NA
