"","tVerbalRuleExplicitModelGeometric2a","tVerbalRuleExplicitModelGeometric3a","tVerbalRuleExtendModelGeometric1a","tVerbalRuleExtendModelGeometric1b","tVerbalRuleExtendModelGeometric2a","tVerbalRuleModelGeometric3a","tVisualExplicitVerbalRuleModelGeometric3a","tVisualExplicitVerbalRuleModelGeometric3b","tVisualExtendTableModelVerbalRuleGeometric2a","tVisualExtendVerbalRuleModelGeometric2a"
"130",0,0,1,0,0,0,1,0,0,0
"131",0,1,0,0,1,0,0,0,0,1
"132",0,0,0,0,1,0,0,0,0,1
"133",1,1,0,0,0,0,0,1,1,1
"134",1,0,1,0,0,0,0,0,0,1
"135",1,0,1,1,1,0,0,0,0,1
"136",1,0,1,1,0,0,0,0,0,0
"137",0,0,0,0,0,0,0,0,0,1
"138",1,0,1,1,0,0,1,0,0,0
"139",1,0,0,1,0,0,1,0,0,0
"140",1,0,0,0,1,0,1,0,1,1
"141",0,0,0,0,0,0,0,1,0,0
"142",1,1,0,0,0,0,0,0,0,0
"143",0,0,1,0,0,0,0,0,0,1
"144",1,0,1,1,0,0,0,0,0,1
"145",1,0,1,1,1,0,1,1,0,1
"146",1,1,0,0,1,0,0,0,0,1
"147",0,0,1,0,1,0,1,0,0,0
"148",1,1,1,1,1,0,0,0,0,0
"149",0,0,0,1,0,0,0,0,0,0
"150",1,0,1,1,1,0,0,0,1,1
"151",1,1,0,0,0,0,0,1,0,0
"152",1,0,1,1,1,0,0,0,0,1
"153",1,0,1,0,1,0,1,0,0,1
"154",1,0,1,1,1,1,1,0,0,0
"155",1,0,1,1,0,0,0,1,0,1
"156",0,0,1,1,0,0,0,0,1,1
"157",1,1,0,0,1,0,0,1,1,1
"158",1,0,0,0,0,0,0,0,0,1
"159",1,1,0,1,1,0,0,1,0,0
"160",1,0,1,0,0,0,0,0,0,1
"161",1,0,0,1,1,0,1,1,0,0
"162",0,0,0,0,0,0,0,0,0,0
"163",1,0,0,0,1,0,0,0,0,1
"164",1,1,0,0,1,0,1,0,1,1
"165",1,1,1,0,1,0,1,1,0,1
"166",1,1,0,0,0,0,0,0,0,1
"167",0,0,0,0,0,0,0,0,0,0
"168",0,0,0,1,1,0,0,0,1,1
"169",1,0,1,1,1,0,0,0,0,1
"170",1,0,1,0,1,0,0,0,0,0
"171",0,0,1,0,0,0,1,1,1,0
"172",0,0,0,0,0,0,0,0,0,1
"173",1,0,0,0,1,0,0,0,0,0
"174",NA,NA,0,1,1,NA,NA,NA,0,0
"175",1,NA,0,1,1,0,0,0,0,1
"176",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"177",NA,NA,0,0,1,NA,NA,NA,0,0
"178",0,1,0,0,1,0,0,0,0,0
"179",1,1,1,0,0,0,0,0,0,0
"180",NA,NA,0,0,0,NA,NA,NA,0,0
"181",NA,NA,0,0,0,NA,NA,NA,0,0
