"post_scaled"
78
39
69
53
51
67
54
53
51
50
54
54
73
66
53
48
50
60
61
51
75
54
56
47
54
39
41
48
56
67
51
58
61
51
67
57
64
51
58
48
67
78
53
54
73
45
73
54
76
54
61
63
70
63
70
81
58
72
70
60
47
60
67
84
67
75
61
54
67
60
64
48
53
57
67
69
47
57
64
66
70
72
70
60
70
72
58
72
54
67
48
53
42
58
66
50
60
58
57
50
47
53
54
45
53
45
50
48
56
60
47
41
NA
NA
39
51
44
45
44
48
47
45
41
42
30
57
45
58
57
44
57
53
57
67
78
56
69
73
69
67
36
61
51
61
63
76
72
61
45
61
45
64
60
56
60
53
54
64
54
53
51
47
63
73
60
36
57
56
78
64
45
56
54
39
39
36
44
39
39
33
41
51
44
42
47
42
39
48
39
45
33
47
39
50
51
39
51
50
33
41
48
50
57
58
60
53
57
36
36
61
60
53
45
56
69
50
72
67
48
50
33
61
42
67
75
64
66
47
51
58
