"T001","T002","T003","T004","T005","T006","T007","T008","T009","T010","T011","T012","T013","T014","T015","T016","T017","T018","T019","T020","T021","T022","T023","T024","T025"
"a","d",612,6,"c","a","d","d","ade","a","a","c","a","c","c","d","e","b","c","b","a","d","b","d","c"
"a","a",1015,16,"c","a","d","c","de","a","b","a","b","b","c","e","d","b","c","d","b","b","a","b","a"
"b","d",1215,8,"d","b","d","a","acdf","a","c","a","c","a","abcd","a","a","a","c","d","a","b","c","b","b"
"a","d",1215,8,"d","b","d","a","acde","a","c","c","d","d","a","b","c","b","c","d","","","","",""
"b","c",675,16,"c","b","d","d","de","b","b","c","d","a","c","d","d","b","c","d","","","","",""
"a","b",NA,16,"c","b","a","c","abcdef","a","d","c","a","c","b","b","e","b","d","d","a","b","b","c","a"
"a","c",465,8,"a","c","b","d","e","","d","","","","","","","","","","","","","",""
"a","c",1215,15,"c","b","b","d","c","b","c","a","c","d","c","e","e","b","b","d","c","c","b","a","d"
"a","e",1215,16,"c","d","b","a","d","a","c","c","a","b","c","a","a","c","a","c","c","a","b","c","a"
"a","d",1215,8,"b","b","d","b","ade","b","c","c","b","a","b","b","b","b","a","b","d","a","b","a","b"
"a","b",600,8,"b","d","c","c","e","b","c","a","d","a","d","","","","","","","","","",""
"a","d",1215,8,"c","c","d","d","ad","a","c","a","b","b","a","d","b","b","c","d","c","a","b","d","c"
"a","d",1215,16,"c","b","b","b","be","a","c","c","b","d","a","b","c","b","c","d","a","a","c","b","d"
"a","d",NA,16,"c","a","d","d","de","b","c","c","c","","","","","","","","","","","",""
"a","c",NA,29,"b","d","c","b","be","a","c","d","d","a","d","c","b","b","c","d","c","a","b","c","c"
"a","a",832,8,"d","b","d","c","bef","c","d","d","b","a","c","e","b","b","c","b","d","b","d","c","b"
"b","a",1005,8,"b","c","c","c","adf","a","c","c","b","d","a","a","e","b","c","d","d","a","d","b","c"
"d","d",810,8,"d","a","d","a","cd","c","c","c","d","c","c","d","b","b","b","b","a","a","b","b",""
"b","a",1215,16,"d","c","d","a","abcdf","a","a","c","a","b","c","b","e","b","b","d","a","c","d","b","c"
"a","b",1215,31,"c","b","d","b","acd","","","","","","","","","","","","","","","",""
