"Race"
8
2
7
7
8
7
4
6
7
3
3
7
3
2
6
3
6
6
2
7
2
6
7
7
7
7
7
7
6
7
7
7
7
7
4
2
2
3
7
2
7
6
7
7
8
7
6
6
6
5
3
6
7
2
3
2
7
6
6
7
7
7
2
2
6
7
7
7
6
3
7
6
3
7
7
7
7
7
7
8
7
7
2
3
7
7
6
7
8
8
7
7
7
3
7
6
2
5
6
7
2
2
7
6
6
4
3
7
7
7
3
1
7
3
7
3
3
7
6
7
3
2
7
3
3
3
2
8
7
6
5
6
5
7
7
6
7
7
7
5
6
7
7
8
7
6
7
6
7
7
7
3
2
7
6
8
6
7
7
7
7
7
3
1
6
8
7
7
2
7
7
7
2
6
6
6
6
6
6
4
6
6
2
6
6
4
6
6
4
2
NA
6
6
6
6
3
3
3
3
3
3
5
3
3
6
8
3
6
7
1
7
7
7
2
7
8
7
6
6
3
7
6
6
7
7
7
2
2
6
6
