"Correct"
20
12
34
8
20
25
33
20
28
21
12
21
36
30
19
6
16
20
35
33
21
20
27
9
21
18
13
26
25
36
22
20
14
13
21
30
18
20
14
14
33
32
9
23
33
11
35
37
42
22
21
44
32
28
35
40
34
42
33
18
8
34
27
47
30
37
24
37
29
39
43
15
41
25
34
41
19
20
38
40
42
32
29
31
22
51
28
40
19
37
25
33
27
8
18
22
17
14
18
10
19
21
20
9
21
23
22
8
29
20
10
18
13
11
14
4
10
23
11
12
17
27
18
25
13
26
16
24
23
17
20
16
20
38
45
22
33
25
30
26
14
14
18
24
41
37
21
45
14
30
16
26
33
38
22
34
32
24
15
26
26
7
20
46
34
13
20
24
35
29
23
18
28
16
12
11
8
7
10
2
5
13
9
3
9
9
7
13
6
5
7
12
9
14
16
24
17
19
18
11
14
28
14
12
37
15
12
10
18
11
18
16
18
21
40
17
42
11
11
34
20
29
13
28
37
26
34
8
11
19
