"pre_scaled"
44
45
70
48
41
48
56
45
50
60
47
50
69
47
39
50
54
61
45
53
70
53
72
45
61
57
63
56
51
63
53
48
42
56
57
61
54
41
63
56
63
61
42
50
57
47
57
50
63
56
54
44
66
58
51
70
75
56
57
50
45
64
54
78
45
58
57
50
60
56
60
39
57
50
63
64
45
56
66
50
60
53
57
73
48
56
45
67
47
57
47
45
44
48
44
51
44
36
41
33
36
51
61
36
51
44
48
53
54
47
42
48
NA
NA
41
41
51
36
36
44
48
44
36
39
33
53
47
48
50
42
58
45
50
69
64
51
61
66
64
60
41
54
47
54
44
57
44
57
50
54
58
42
47
54
50
27
44
60
41
57
41
51
53
69
50
36
61
54
61
57
53
51
58
36
27
33
30
33
36
27
36
39
48
27
30
33
33
41
36
50
47
39
41
57
41
48
44
48
47
54
53
45
44
39
53
54
44
42
53
45
47
45
44
51
53
48
56
57
36
60
47
54
53
54
67
45
61
39
44
51
