"","Model","Node","NStates","State","Link","LinkScale","RecursiveRulesGeometric","ExplicitGeometric","AlgebraRulesGeometric","VerbalRulesGeometric","InduceRulesGeometric","VisualGeometric","ModelGeometric","TableGeometric","ExtendGeometric","ExamplesGeometric","CommonRatio","DistinguishTypes","SolveGeometricProblems","SolveSequenceProblems","Rules","A.RecursiveRulesGeometric","A.ExplicitGeometric","A.AlgebraRulesGeometric","A.VerbalRulesGeometric","A.InduceRulesGeometric","A.VisualGeometric","A.ModelGeometric","A.TableGeometric","A.ExtendGeometric","A.ExamplesGeometric","A.CommonRatio","A.DistinguishTypes","A.SolveGeometricProblems","A.SolveSequenceProblems","A","B.RecursiveRulesGeometric","B.ExplicitGeometric","B.AlgebraRulesGeometric","B.VerbalRulesGeometric","B.InduceRulesGeometric","B.VisualGeometric","B.ModelGeometric","B.TableGeometric","B.ExtendGeometric","B.ExamplesGeometric","B.CommonRatio","B.DistinguishTypes","B.SolveGeometricProblems","B.SolveSequenceProblems","B","PriorWeight"
"tVisExplVerbRuleModGeo3a","ACEDmotif","tVisExplVerbRuleModGeo3a",2,"Yes","partialCredit",NA,0,1,0,1,0,1,1,0,0,0,0,0,0,0,"""Compensatory""",NA,0.896025464542964,NA,0.836853296074346,NA,0.908054849584357,1.90571344196638,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.68070137856,"10"
"tVerbRuleModGeo3a","ACEDmotif","tVerbRuleModGeo3a",2,"Yes","partialCredit",NA,0,0,0,1,0,0,1,0,0,0,0,0,0,0,"""Compensatory""",NA,NA,NA,1.15940476752712,NA,NA,0.464819317102342,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.96696296296297,"10"
"tVerbRuleExplModGeo3a","ACEDmotif","tVerbRuleExplModGeo3a",2,"Yes","partialCredit",NA,0,1,0,1,0,0,1,0,0,0,0,0,0,0,"""Compensatory""",NA,0.764559023435783,NA,1.13969314690695,NA,NA,1.00656540710004,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.7375,"10"
"tVerbRuleExplModGeo2a","ACEDmotif","tVerbRuleExplModGeo2a",2,"Yes","partialCredit",NA,0,1,0,1,0,0,1,0,0,0,0,0,0,0,"""Compensatory""",NA,0.8,NA,1.2,NA,NA,1.78385526920781,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,"10"
"tVisExtVerbRuleModGeo2a","ACEDmotif","tVisExtVerbRuleModGeo2a",2,"Yes","partialCredit",NA,0,0,0,1,0,1,0,0,1,0,0,0,0,0,"""Compensatory""",NA,NA,NA,0.8,NA,1.2,NA,NA,1.02256518256357,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,"10"
"tVisExtTableModVerbRul_39","ACEDmotif","tVisExtTableModVerbRul_39",2,"Yes","partialCredit",NA,0,0,0,1,0,1,1,1,1,0,0,0,0,0,"""Compensatory""",NA,NA,NA,1.00840231312163,NA,1.60273253778017,0.8,0.8,0.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.578776903741168,"10"
"tVisExtGeo3a","ACEDmotif","tVisExtGeo3a",2,"Yes","partialCredit",NA,0,0,0,0,0,1,0,0,1,0,0,0,0,0,"""Compensatory""",NA,NA,NA,NA,NA,1.08580490164315,NA,NA,0.700138655234358,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.28333333333334,"10"
"tVisExtGeo2a","ACEDmotif","tVisExtGeo2a",2,"Yes","partialCredit",NA,0,0,0,0,0,1,0,0,1,0,0,0,0,0,"""Compensatory""",NA,NA,NA,NA,NA,1.2,NA,NA,1.37958218843957,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.847387264767443,"10"
"tVisExtGeo1c","ACEDmotif","tVisExtGeo1c",2,"Yes","partialCredit",NA,0,0,0,0,0,1,0,0,1,0,0,0,0,0,"""Compensatory""",NA,NA,NA,NA,NA,1.76335876420058,NA,NA,1.15093813657591,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.15653881228759,"10"
"tVisExtGeo1b","ACEDmotif","tVisExtGeo1b",2,"Yes","partialCredit",NA,0,0,0,0,0,1,0,0,1,0,0,0,0,0,"""Compensatory""",NA,NA,NA,NA,NA,4.72612620991756,NA,NA,1.86793120512033,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-1.40855109464106,"10"
