"SubjID","AltID","P.sgp..H","P.sgp..M","P.sgp..L","EAP.sgp","MAP.sgp","P.cr..H","P.cr..M","P.cr..L","EAP.cr","MAP.cr","P.dt..H","P.dt..M","P.dt..L","EAP.dt","MAP.dt","P.eg..H","P.eg..M","P.eg..L","EAP.eg","MAP.eg","P.exp..H","P.exp..M","P.exp..L","EAP.exp","MAP.exp","P.ext..H","P.ext..M","P.ext..L","EAP.ext","MAP.ext","P.mod..H","P.mod..M","P.mod..L","EAP.mod","MAP.mod","P.rr..H","P.rr..M","P.rr..L","EAP.rr","MAP.rr","P.tab..H","P.tab..M","P.tab..L","EAP.tab","MAP.tab","P.vr..H","P.vr..M","P.vr..L","EAP.vr","MAP.vr","P.pic..H","P.pic..M","P.pic..L","EAP.pic","MAP.pic"
"S253","s11-05",0,0.016,0.984,0.016,"L",0.163,0.577,0.26,0.903,"M",0.099,0.228,0.672,0.427,"L",0.001,0.032,0.967,0.034,"L",0,0.015,0.985,0.0149999999999999,"L",0.84,0.158,0.002,1.838,"H",0,0.019,0.98,0.02,"L",0.272,0.519,0.209,1.063,"M",0.072,0.295,0.633,0.439,"L",0.005,0.102,0.892,0.113,"L",0.009,0.142,0.849,0.159,"L"
"S263","s11-06",0.001,0.103,0.896,0.105,"L",0.427,0.49,0.083,1.344,"M",0.11,0.236,0.654,0.456,"L",0.002,0.044,0.954,0.048,"L",0.001,0.017,0.983,0.018,"L",0.697,0.295,0.008,1.69,"H",0.002,0.039,0.959,0.0429999999999999,"L",0.545,0.395,0.06,1.484,"H",0.2,0.388,0.413,0.787,"L",0.005,0.078,0.917,0.0880000000000001,"L",0.001,0.039,0.96,0.0409999999999999,"L"
"S252","s11-07",0,0.001,0.999,0.00099999999999989,"L",0.153,0.583,0.264,0.889,"M",0.097,0.227,0.675,0.422,"L",0.001,0.03,0.969,0.0309999999999999,"L",0,0.013,0.987,0.0129999999999999,"L",0.011,0.367,0.622,0.388,"L",0,0.01,0.99,0.01,"L",0.02,0.259,0.721,0.298,"L",0.022,0.181,0.798,0.224,"L",0.003,0.086,0.912,0.091,"L",0.001,0.061,0.938,0.0629999999999999,"L"
"S255","s11-08",0.379,0.502,0.119,1.26,"M",0.886,0.102,0.012,1.874,"H",0.238,0.309,0.452,0.786,"L",0.557,0.314,0.129,1.428,"H",0.002,0.027,0.971,0.0309999999999999,"L",0.906,0.091,0.003,1.903,"H",0.28,0.387,0.333,0.947,"M",0.325,0.487,0.188,1.137,"M",0.333,0.388,0.279,1.053,"M",0.125,0.288,0.587,0.538,"L",0.116,0.348,0.536,0.579,"L"
"S254","s11-09",0.964,0.036,0,1.964,"H",1,0,0,2,"H",0.305,0.335,0.36,0.945,"L",0.803,0.182,0.015,1.788,"H",0.002,0.037,0.961,0.0409999999999999,"L",1,0,0,2,"H",0.401,0.441,0.158,1.243,"M",0.365,0.463,0.173,1.192,"M",0.915,0.081,0.004,1.912,"H",0.21,0.362,0.428,0.782,"L",0.783,0.198,0.019,1.764,"H"
"S261","s11-10",0,0.045,0.955,0.0449999999999999,"L",0.645,0.334,0.022,1.623,"H",0.103,0.231,0.666,0.436,"L",0.001,0.036,0.963,0.038,"L",0.001,0.028,0.971,0.03,"L",0.185,0.666,0.15,1.035,"M",0,0.014,0.986,0.014,"L",0.09,0.443,0.467,0.622,"L",0.071,0.29,0.638,0.433,"L",0.007,0.121,0.872,0.136,"L",0.021,0.212,0.767,0.254,"L"
"S262","s11-11",0.019,0.376,0.605,0.414,"L",0.59,0.353,0.057,1.533,"H",0.147,0.26,0.593,0.554,"L",0.006,0.089,0.905,0.101,"L",0,0.005,0.995,0.00499999999999989,"L",0.79,0.205,0.005,1.785,"H",0.001,0.03,0.969,0.0309999999999999,"L",0.02,0.26,0.719,0.301,"L",0.079,0.29,0.63,0.449,"L",0.014,0.137,0.849,0.165,"L",0.143,0.378,0.478,0.665,"L"
"S251","s11-12",0.01,0.239,0.751,0.259,"L",0.508,0.422,0.07,1.438,"H",0.128,0.248,0.624,0.505,"L",0.004,0.066,0.93,0.0740000000000001,"L",0.013,0.08,0.907,0.106,"L",0.562,0.413,0.025,1.537,"H",0.061,0.207,0.732,0.33,"L",0.108,0.439,0.453,0.656,"L",0.398,0.39,0.212,1.186,"H",0.054,0.237,0.709,0.344,"L",0.005,0.1,0.894,0.111,"L"
"S250","s11-13",0.014,0.351,0.635,0.38,"L",0.573,0.368,0.06,1.513,"H",0.143,0.257,0.6,0.543,"L",0.005,0.083,0.911,0.0940000000000001,"L",0.001,0.034,0.964,0.0369999999999999,"L",0.725,0.267,0.009,1.716,"H",0.012,0.11,0.877,0.135,"L",0.021,0.261,0.718,0.303,"L",0.27,0.396,0.334,0.935,"M",0.015,0.139,0.846,0.168,"L",0.007,0.117,0.876,0.131,"L"
"S259","s11-14",0.23,0.624,0.147,1.083,"M",0.944,0.053,0.002,1.942,"H",0.222,0.303,0.475,0.746,"L",0.107,0.324,0.569,0.538,"L",0.019,0.09,0.891,0.128,"L",0.908,0.09,0.002,1.906,"H",0.213,0.374,0.413,0.8,"L",0.359,0.465,0.176,1.182,"M",0.561,0.329,0.11,1.451,"H",0.186,0.308,0.505,0.681,"L",0.029,0.213,0.758,0.271,"L"
