ItemID,T001,T002,T003,T004,T005,T006,T007,T008,T009,T010,T011,T012,T013,T014,T015,T016,T017,T018,T019,T020,T021,T022,T023,T024,T025
S176,0,1,1,1,0,1,0,1,0,1,1,0,0,1,0,1,-999,-999,-999,-999,-999,-999,-999,-999,-999
S173,0,0,0,0,0,0,0,1,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,1
S158,1,1,-999,1,1,1,1,0,0,1,1,1,0,0,1,1,0,0,0,-999,-999,-999,-999,-999,-999
S160,0,0,1,0,0,0,1,1,0,1,1,1,0,0,1,0,0,0,0,-999,-999,-999,-999,-999,-999
S162,0,1,0,0,1,1,1,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,1
S164,0,0,0,1,1,1,1,0,1,0,0,1,0,1,1,0,0,0,0,1,0,0,0,0,0
S182,1,1,1,0,0,0,1,1,0,0,1,1,0,0,0,0,1,1,0,1,1,0,0,0,0
S180,0,1,1,0,0,0,1,1,0,0,1,0,0,0,0,1,0,0,0,1,-999,-999,-999,-999,-999
S178,1,0,0,1,1,0,1,0,1,1,0,0,0,0,1,0,0,0,0,1,-999,-999,-999,-999,-999
S184,0,0,-999,1,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,1,0,0,0,0
S188,0,0,0,0,0,0,0,0,0,-999,0,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
S193,0,0,1,0,1,0,0,0,0,1,1,1,0,0,1,0,0,0,1,1,0,1,0,1,0
S191,0,0,1,1,1,0,0,1,0,0,1,0,1,1,1,0,1,0,0,0,0,0,0,0,0
S186,0,1,1,0,0,0,1,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0
S203,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
S206,0,1,1,0,1,0,1,0,0,0,1,1,0,1,0,0,0,0,0,1,0,0,0,0,1
S199,0,1,1,1,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,1,0,0,0,0
S195,0,1,-999,1,1,1,1,0,1,1,1,0,0,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
S197,0,0,-999,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1
S201,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0
