"SubjID","AltID","Classroom","Gender","Race","Level_Code","pre_scaled","post_scaled","gain_scaled","Form_Order","PreACorr","PostBCorr","PreBCorr","PostACorr","PreScore","PostScore","Gain","preacorr_adj","postbcorr_adj","prebcorr_adj","postacorr_adj","Zpreacorr_adj","Zpostbcorr_adj","Zprebcorr_adj","Zpostacorr_adj","scale_prea","scale_preb","scale_posta","scale_postb","Flagged","Last_Row","Gain_again","Cond_code","Sequencing","Feedback"
"S159","s06-02","c06","Female","7","Academic",47,48,1,1,7,9,NA,NA,7,9,2,7,7,NA,NA,-0.29,-0.49,NA,NA,47,NA,NA,48,FALSE,NA,2,"linear_full","Linear","Full"
"S160","s06-01","c06","Male","7","Academic",45,53,8,2,NA,NA,7,10,7,10,3,NA,NA,6,9,NA,NA,-0.49,-0.23,NA,45,53,NA,FALSE,62,3,"adaptive_acc","Adaptive","Accuracy"
"S161","s06-11","c06","Female","7","Academic",44,42,-2,1,6,5,NA,NA,6,5,-1,6,5,NA,NA,-0.58,-0.99,NA,NA,44,NA,NA,42,FALSE,62,-1,"adaptive_full","Adaptive","Full"
"S162","s06-15","c06","Female","3","Academic",48,58,10,2,NA,NA,8,11,8,11,3,NA,NA,7,11,NA,NA,-0.19,0.31,NA,48,58,NA,FALSE,NA,3,"linear_full","Linear","Full"
"S163","s06-08","c06","Male","7","Academic",44,66,22,1,8,13,NA,NA,8,13,5,6,13,NA,NA,-0.58,1,NA,NA,44,NA,NA,66,FALSE,62,5,"adaptive_acc","Adaptive","Accuracy"
"S164","s06-06","c06","Female","6","Academic",51,50,-1,2,NA,NA,9,9,9,9,0,NA,NA,8,8,NA,NA,0.11,-0.5,NA,51,50,NA,FALSE,62,0,"adaptive_full","Adaptive","Full"
"S165","s06-03","c06","Female","2","Academic",44,60,16,1,7,12,NA,NA,7,12,5,6,11,NA,NA,-0.58,0.5,NA,NA,44,NA,NA,60,FALSE,NA,5,"linear_full","Linear","Full"
"S166","s06-04","c06","Female","5","Academic",36,58,22,2,NA,NA,5,11,5,11,6,NA,NA,3,11,NA,NA,-1.39,0.31,NA,36,58,NA,FALSE,62,6,"adaptive_acc","Adaptive","Accuracy"
"S167","s06-10","c06","Female","6","Academic",41,57,16,1,5,10,NA,NA,5,10,5,5,10,NA,NA,-0.86,0.25,NA,NA,41,NA,NA,57,FALSE,62,5,"adaptive_full","Adaptive","Full"
"S168","s06-12","c06","Female","7","Academic",33,50,17,2,NA,NA,4,8,4,8,4,NA,NA,2,8,NA,NA,-1.69,-0.5,NA,33,50,NA,FALSE,NA,4,"linear_full","Linear","Full"
"S169","s06-05","c06","Female","2","Academic",36,47,11,2,NA,NA,3,8,3,8,5,NA,NA,3,7,NA,NA,-1.39,-0.78,NA,36,47,NA,FALSE,62,5,"adaptive_acc","Adaptive","Accuracy"
"S170","s06-09","c06","Male","2","Academic",51,53,2,2,NA,NA,8,9,8,9,1,NA,NA,8,9,NA,NA,0.11,-0.23,NA,51,53,NA,FALSE,62,1,"adaptive_full","Adaptive","Full"
"S171","s06-14","c06","Male","7","Academic",61,54,-7,1,13,9,NA,NA,13,9,-4,12,9,NA,NA,1.12,0,NA,NA,61,NA,NA,54,FALSE,NA,-4,"linear_full","Linear","Full"
"S177","s07-09","c07","Male","6","Part 1",36,45,9,1,3,6,NA,NA,3,6,3,3,6,NA,NA,-1.42,-0.74,NA,NA,36,NA,NA,45,FALSE,62,3,"adaptive_acc","Adaptive","Accuracy"
"S178","s07-06","c07","Male","6","Part 1",51,53,2,2,NA,NA,8,9,8,9,1,NA,NA,8,9,NA,NA,0.11,-0.23,NA,51,53,NA,FALSE,62,1,"adaptive_full","Adaptive","Full"
"S179","s07-01","c07","Male","4","Part 1",44,45,1,1,6,6,NA,NA,6,6,0,6,6,NA,NA,-0.58,-0.74,NA,NA,44,NA,NA,45,FALSE,NA,0,"linear_full","Linear","Full"
"S180","s07-11","c07","Male","3","Part 1",48,50,2,2,NA,NA,7,8,7,8,1,NA,NA,7,8,NA,NA,-0.19,-0.5,NA,48,50,NA,FALSE,62,1,"adaptive_acc","Adaptive","Accuracy"
"S181","s07-08","c07","Male","7","Part 1",53,48,-5,1,10,7,NA,NA,10,7,-3,9,7,NA,NA,0.27,-0.49,NA,NA,53,NA,NA,48,FALSE,62,-3,"adaptive_full","Adaptive","Full"
"S182","s07-02","c07","Female","7","Part 1",54,56,2,2,NA,NA,11,10,11,10,-1,NA,NA,9,10,NA,NA,0.41,0.04,NA,54,56,NA,FALSE,NA,-1,"linear_full","Linear","Full"
"S183","s07-03","c07","Female","7","Part 1",47,60,13,1,7,11,NA,NA,7,11,4,7,11,NA,NA,-0.29,0.5,NA,NA,47,NA,NA,60,FALSE,62,4,"adaptive_acc","Adaptive","Accuracy"
"S184","s07-05","c07","Male","3","Part 1",42,47,5,2,NA,NA,6,9,6,9,3,NA,NA,5,7,NA,NA,-0.79,-0.78,NA,42,47,NA,FALSE,62,3,"adaptive_full","Adaptive","Full"
"S186","s07-07","c07","Male","1","Part 1",48,41,-7,2,NA,NA,7,5,7,5,-2,NA,NA,7,5,NA,NA,-0.19,-1.32,NA,48,41,NA,FALSE,62,-2,"adaptive_acc","Adaptive","Accuracy"
