"SubjID","AltID","Session","Cond_code","Sequencing","Feedback","All_Items","Correct","Incorrect","Reamaining","ElapsedTime","P.sgp..H","P.sgp..M","P.sgp..L","EAP.sgp","MAP.sgp","P.cr..H","P.cr..M","P.cr..L","EAP.cr","MAP.cr","P.dt..H","P.dt..M","P.dt..L","EAP.dt","MAP.dt","P.eg..H","P.eg..M","P.eg..L","EAP.eg","MAP.eg","P.exp..H","P.exp..M","P.exp..L","EAP.exp","MAP.exp","P.ext..H","P.ext..M","P.ext..L","EAP.ext","MAP.ext","P.mod..H","P.mod..M","P.mod..L","EAP.mod","MAP.mod","P.rr..H","P.rr..M","P.rr..L","EAP.rr","MAP.rr","P.tab..H","P.tab..M","P.tab..L","EAP.tab","MAP.tab","P.vr..H","P.vr..M","P.vr..L","EAP.vr","MAP.vr","P.pic..H","P.pic..M","P.pic..L","EAP.pic","MAP.pic"
"S068","s01-16","c01","linear_full","Linear","Full",63,16,47,0,1286,0,0.007,0.993,0.0069999999999999,"L",0.021,0.403,0.576,0.445,"L",0.098,0.228,0.674,0.424,"L",0,0.01,0.99,0.01,"L",0,0.012,0.988,0.012,"L",0.011,0.494,0.495,0.516,"L",0.001,0.039,0.96,0.0409999999999999,"L",0.039,0.422,0.539,0.501,"L",0.349,0.464,0.187,1.161,"M",0.011,0.195,0.794,0.217,"L",0.015,0.228,0.757,0.257,"L"
"S052","s01-17","c01","adaptive_acc","Adaptive","Accuracy",63,20,14,29,NA,0.747,0.252,0.001,1.747,"H",0.99,0.009,0,1.99,"H",0.286,0.329,0.385,0.901,"L",0.855,0.136,0.009,1.847,"H",0.009,0.061,0.93,0.0780000000000001,"L",0.99,0.01,0,1.99,"H",0.122,0.459,0.419,0.703,"M",0.288,0.396,0.316,0.972,"M",0.737,0.236,0.026,1.711,"H",0.247,0.414,0.339,0.907,"M",0.017,0.22,0.764,0.253,"L"
"S241","s10-01","c10","adaptive_full","Adaptive","Full",63,34,29,0,1971,0.05,0.843,0.107,0.943,"M",0.99,0.01,0,1.99,"H",0.21,0.301,0.488,0.722,"L",0.523,0.395,0.082,1.441,"H",0,0.007,0.993,0.0069999999999999,"L",0.994,0.006,0,1.994,"H",0.058,0.348,0.593,0.465,"L",0.002,0.103,0.895,0.106,"L",0.199,0.515,0.287,0.912,"M",0.035,0.257,0.708,0.327,"L",0.205,0.525,0.27,0.935,"M"
"S230","s10-02","c10","linear_full","Linear","Full",63,41,22,0,2607,0.888,0.112,0,1.888,"H",0.999,0.001,0,1.999,"H",0.298,0.333,0.369,0.93,"L",0.918,0.08,0.002,1.917,"H",0.034,0.28,0.686,0.348,"L",0.996,0.004,0,1.996,"H",0.717,0.262,0.02,1.697,"H",0.811,0.179,0.01,1.801,"H",0.024,0.265,0.711,0.313,"L",0.703,0.251,0.046,1.656,"H",0.029,0.303,0.668,0.36,"L"
"S232","s10-03","c10","adaptive_full","Adaptive","Full",63,21,42,0,1942,0.032,0.711,0.256,0.776,"M",0.686,0.275,0.039,1.647,"H",0.191,0.289,0.521,0.67,"L",0.001,0.052,0.948,0.0529999999999999,"L",0,0.002,0.998,0.002,"L",0.58,0.405,0.015,1.565,"H",0.235,0.437,0.328,0.908,"M",0.001,0.102,0.896,0.105,"L",0.65,0.312,0.038,1.612,"H",0.016,0.188,0.796,0.219,"L",0.001,0.06,0.939,0.0620000000000001,"L"
"S233","s10-04","c10","linear_full","Linear","Full",63,45,18,0,2243,0.976,0.024,0,1.976,"H",1,0,0,2,"H",0.306,0.335,0.358,0.948,"L",0.839,0.155,0.006,1.834,"H",0.002,0.079,0.918,0.0840000000000001,"L",1,0,0,2,"H",0.431,0.467,0.101,1.33,"M",0.758,0.228,0.014,1.744,"H",0.392,0.469,0.139,1.253,"M",0.569,0.334,0.097,1.472,"H",0.138,0.497,0.365,0.773,"M"
"S236","s10-05","c10","linear_full","Linear","Full",63,16,47,0,1960,0,0.003,0.997,0.00299999999999989,"L",0.074,0.599,0.328,0.746,"M",0.098,0.227,0.675,0.423,"L",0,0.01,0.99,0.01,"L",0.232,0.357,0.411,0.821,"L",0,0.028,0.972,0.028,"L",0.001,0.035,0.965,0.036,"L",0.5,0.427,0.073,1.427,"H",0.001,0.049,0.95,0.05,"L",0.115,0.34,0.545,0.57,"L",0.001,0.066,0.933,0.0669999999999999,"L"
"S235","s10-06","c10","adaptive_full","Adaptive","Full",63,30,33,0,1864,0.018,0.806,0.175,0.843,"M",0.966,0.034,0,1.966,"H",0.199,0.295,0.506,0.694,"L",0.001,0.054,0.946,0.0549999999999999,"L",0.009,0.118,0.873,0.135,"L",0.978,0.022,0,1.978,"H",0.004,0.116,0.88,0.125,"L",0.02,0.25,0.73,0.29,"L",0.004,0.132,0.864,0.14,"L",0.314,0.448,0.239,1.075,"M",0.402,0.475,0.123,1.28,"M"
"S240","s10-07","c10","adaptive_acc","Adaptive","Accuracy",63,22,41,0,2341,0,0.005,0.995,0.00499999999999989,"L",0.681,0.31,0.009,1.672,"H",0.098,0.228,0.675,0.423,"L",0.009,0.151,0.84,0.169,"L",0.001,0.04,0.959,0.042,"L",0.054,0.757,0.19,0.864,"M",0.026,0.191,0.784,0.242,"L",0.044,0.424,0.531,0.513,"L",0.037,0.29,0.674,0.363,"L",0.1,0.444,0.456,0.643,"L",0.001,0.071,0.928,0.073,"L"
"S239","s10-08","c10","linear_full","Linear","Full",63,38,25,0,2574,0.751,0.248,0,1.751,"H",0.994,0.006,0,1.994,"H",0.286,0.329,0.385,0.901,"L",0.896,0.101,0.003,1.893,"H",0.024,0.189,0.787,0.237,"L",0.99,0.01,0,1.99,"H",0.494,0.417,0.089,1.405,"H",0.009,0.141,0.85,0.159,"L",0.595,0.35,0.055,1.54,"H",0.554,0.355,0.091,1.463,"H",0.013,0.214,0.772,0.241,"L"
"S234","s10-09","c10","adaptive_acc","Adaptive","Accuracy",63,14,49,0,1496,0,0.002,0.998,0.002,"L",0.019,0.402,0.579,0.44,"L",0.098,0.227,0.675,0.422,"L",0,0.01,0.99,0.01,"L",0,0.003,0.997,0.00299999999999989,"L",0.076,0.774,0.15,0.926,"M",0,0.026,0.974,0.026,"L",0.008,0.227,0.765,0.243,"L",0.358,0.476,0.167,1.191,"M",0.001,0.072,0.927,0.075,"L",0,0.018,0.982,0.018,"L"
"S231","s10-10","c10","adaptive_acc","Adaptive","Accuracy",63,37,25,1,2285,0.469,0.525,0.006,1.463,"M",0.936,0.061,0.003,1.934,"H",0.26,0.321,0.419,0.841,"L",0.005,0.129,0.867,0.138,"L",0.193,0.388,0.419,0.774,"L",0.991,0.009,0,1.991,"H",0.372,0.459,0.169,1.204,"M",0.906,0.091,0.002,1.904,"H",0.413,0.455,0.133,1.28,"M",0.26,0.394,0.346,0.913,"M",0.047,0.339,0.613,0.434,"L"
"S243","s10-11","c10","adaptive_acc","Adaptive","Accuracy",63,24,39,0,2248,0.002,0.405,0.593,0.409,"L",0.8,0.194,0.006,1.794,"H",0.147,0.26,0.592,0.555,"L",0.01,0.16,0.83,0.18,"L",0,0.003,0.997,0.00299999999999989,"L",0.732,0.265,0.003,1.728,"H",0.002,0.067,0.931,0.071,"L",0.008,0.228,0.764,0.244,"L",0.224,0.49,0.286,0.939,"M",0.004,0.103,0.893,0.111,"L",0,0.039,0.961,0.04,"L"
"S228","s10-12","c10","adaptive_acc","Adaptive","Accuracy",63,18,45,0,2253,0,0.123,0.877,0.123,"L",0.286,0.594,0.121,1.165,"M",0.112,0.237,0.65,0.462,"L",0,0.016,0.984,0.016,"L",0,0.003,0.997,0.00299999999999989,"L",0.676,0.321,0.003,1.673,"H",0,0.011,0.989,0.0109999999999999,"L",0.001,0.101,0.897,0.104,"L",0.002,0.072,0.926,0.0760000000000001,"L",0.002,0.083,0.915,0.087,"L",0.042,0.322,0.636,0.406,"L"
"S238","s10-13","c10","adaptive_full","Adaptive","Full",63,33,30,0,1952,0.01,0.625,0.365,0.645,"M",0.939,0.06,0.001,1.939,"H",0.175,0.279,0.545,0.63,"L",0.415,0.418,0.166,1.249,"M",0.032,0.19,0.778,0.254,"L",0.789,0.209,0.002,1.787,"H",0.012,0.165,0.823,0.189,"L",0.464,0.458,0.079,1.385,"H",0.001,0.064,0.934,0.0669999999999999,"L",0.234,0.399,0.367,0.867,"M",0.05,0.368,0.582,0.468,"L"
"S229","s10-14","c10","adaptive_full","Adaptive","Full",63,24,39,0,2657,0,0.051,0.948,0.052,"L",0.037,0.406,0.557,0.481,"L",0.104,0.231,0.665,0.439,"L",0,0.012,0.988,0.012,"L",0,0.003,0.997,0.00299999999999989,"L",0.968,0.032,0,1.968,"H",0.038,0.23,0.732,0.306,"L",0.142,0.578,0.28,0.862,"M",0.088,0.425,0.488,0.6,"L",0.021,0.241,0.738,0.283,"L",0.003,0.101,0.896,0.107,"L"
