"SubjID","AltID","P.sgp..H","P.sgp..M","P.sgp..L","EAP.sgp","MAP.sgp","P.cr..H","P.cr..M","P.cr..L","EAP.cr","MAP.cr","P.dt..H","P.dt..M","P.dt..L","EAP.dt","MAP.dt","P.eg..H","P.eg..M","P.eg..L","EAP.eg","MAP.eg","P.exp..H","P.exp..M","P.exp..L","EAP.exp","MAP.exp","P.ext..H","P.ext..M","P.ext..L","EAP.ext","MAP.ext","P.mod..H","P.mod..M","P.mod..L","EAP.mod","MAP.mod","P.rr..H","P.rr..M","P.rr..L","EAP.rr","MAP.rr","P.tab..H","P.tab..M","P.tab..L","EAP.tab","MAP.tab","P.vr..H","P.vr..M","P.vr..L","EAP.vr","MAP.vr","P.pic..H","P.pic..M","P.pic..L","EAP.pic","MAP.pic"
"S318","s14-04",0,0.007,0.993,0.0069999999999999,"L",0.374,0.534,0.092,1.282,"M",0.098,0.228,0.674,0.424,"L",0.004,0.077,0.919,0.085,"L",0.001,0.025,0.975,0.026,"L",0.028,0.493,0.479,0.549,"M",0,0.015,0.985,0.0149999999999999,"L",0.02,0.26,0.721,0.299,"L",0.003,0.067,0.931,0.0720000000000001,"L",0.005,0.117,0.878,0.127,"L",0.022,0.199,0.779,0.243,"L"
"S320","s14-05",0.028,0.24,0.732,0.296,"L",0.52,0.412,0.068,1.452,"H",0.132,0.25,0.618,0.515,"L",0.08,0.248,0.671,0.409,"L",0,0.006,0.994,0.00600000000000001,"L",0.544,0.42,0.036,1.507,"H",0.025,0.135,0.841,0.184,"L",0.274,0.518,0.208,1.066,"M",0.169,0.368,0.463,0.706,"L",0.006,0.085,0.908,0.0980000000000001,"L",0.121,0.259,0.62,0.501,"L"
"S315","s14-06",0,0.055,0.945,0.0549999999999999,"L",0.4,0.512,0.088,1.312,"M",0.104,0.232,0.664,0.44,"L",0.006,0.089,0.905,0.102,"L",0,0.005,0.995,0.00499999999999989,"L",0.511,0.465,0.025,1.486,"H",0.001,0.028,0.972,0.0289999999999999,"L",0.088,0.443,0.468,0.62,"L",0.019,0.169,0.813,0.206,"L",0.007,0.127,0.866,0.142,"L",0.005,0.093,0.902,0.102,"L"
"S334","s15-01",0.001,0.135,0.863,0.138,"L",0.676,0.304,0.02,1.656,"H",0.114,0.238,0.648,0.467,"L",0.011,0.11,0.879,0.132,"L",0,0.013,0.987,0.0129999999999999,"L",0.651,0.337,0.012,1.639,"H",0.006,0.07,0.924,0.081,"L",0.089,0.443,0.467,0.622,"L",0.047,0.247,0.706,0.341,"L",0.009,0.128,0.863,0.146,"L",0.006,0.103,0.89,0.116,"L"
"S324","s15-02",0,0.024,0.976,0.024,"L",0.638,0.34,0.022,1.615,"H",0.1,0.229,0.671,0.43,"L",0.001,0.033,0.966,0.0349999999999999,"L",0,0.01,0.99,0.01,"L",0.481,0.491,0.028,1.453,"M",0.001,0.038,0.961,0.0409999999999999,"L",0.02,0.26,0.72,0.3,"L",0.017,0.164,0.818,0.199,"L",0.014,0.183,0.803,0.212,"L",0.014,0.162,0.824,0.19,"L"
"S325","s15-03",0.894,0.104,0.001,1.893,"H",0.996,0.004,0,1.996,"H",0.299,0.333,0.368,0.931,"L",0.561,0.352,0.088,1.473,"H",0.003,0.044,0.953,0.05,"L",0.999,0.001,0,1.999,"H",0.232,0.456,0.312,0.92,"M",0.045,0.281,0.674,0.371,"L",0.867,0.123,0.01,1.858,"H",0.356,0.395,0.248,1.108,"M",0.603,0.317,0.08,1.523,"H"
"S328","s15-04",0.373,0.566,0.061,1.312,"M",0.983,0.017,0,1.982,"H",0.245,0.314,0.441,0.804,"L",0.34,0.401,0.259,1.08,"M",0.029,0.158,0.814,0.215,"L",0.973,0.027,0,1.973,"H",0.05,0.261,0.689,0.361,"L",0.701,0.263,0.036,1.665,"H",0.566,0.329,0.105,1.461,"H",0.527,0.3,0.173,1.354,"H",0.074,0.289,0.637,0.437,"L"
"S327","s15-05",0,0.004,0.996,0.00499999999999989,"L",0.155,0.581,0.263,0.892,"M",0.098,0.228,0.675,0.423,"L",0.001,0.031,0.969,0.032,"L",0.002,0.031,0.967,0.0349999999999999,"L",0.345,0.6,0.055,1.291,"M",0,0.017,0.983,0.0169999999999999,"L",0.064,0.372,0.564,0.5,"L",0.007,0.111,0.881,0.126,"L",0.016,0.191,0.793,0.224,"L",0.014,0.164,0.822,0.192,"L"
"S323","s15-06",0.821,0.174,0.005,1.815,"H",0.991,0.008,0,1.991,"H",0.292,0.331,0.378,0.914,"L",0.53,0.36,0.11,1.42,"H",0.002,0.045,0.953,0.05,"L",0.991,0.009,0,1.991,"H",0.477,0.392,0.13,1.347,"H",0.406,0.437,0.157,1.249,"M",0.509,0.356,0.136,1.373,"H",0.404,0.358,0.237,1.167,"H",0.281,0.422,0.297,0.985,"M"
"S336","s15-07",0,0.004,0.996,0.004,"L",0.155,0.582,0.263,0.892,"M",0.098,0.227,0.675,0.423,"L",0.001,0.031,0.969,0.032,"L",0,0.013,0.987,0.0129999999999999,"L",0.081,0.65,0.269,0.813,"M",0,0.014,0.986,0.014,"L",0.089,0.443,0.468,0.621,"L",0.002,0.058,0.94,0.0620000000000001,"L",0.009,0.148,0.842,0.167,"L",0.005,0.102,0.893,0.112,"L"
"S333","s15-08",0.241,0.668,0.09,1.151,"M",0.976,0.023,0,1.976,"H",0.23,0.308,0.462,0.767,"L",0.032,0.213,0.755,0.278,"L",0.001,0.021,0.978,0.0229999999999999,"L",0.987,0.013,0,1.987,"H",0.106,0.33,0.564,0.543,"L",0.3,0.502,0.198,1.102,"M",0.519,0.354,0.127,1.392,"H",0.05,0.211,0.74,0.31,"L",0.427,0.392,0.181,1.246,"H"
"S332","s15-09",0.003,0.143,0.854,0.15,"L",0.25,0.523,0.228,1.022,"M",0.115,0.239,0.645,0.47,"L",0.002,0.051,0.947,0.0549999999999999,"L",0.001,0.031,0.968,0.0329999999999999,"L",0.692,0.3,0.008,1.684,"H",0.001,0.035,0.963,0.038,"L",0.02,0.26,0.72,0.301,"L",0.019,0.167,0.814,0.205,"L",0.009,0.127,0.864,0.144,"L",0.037,0.224,0.739,0.298,"L"
"S331","s15-10",0,0.001,0.999,0.00099999999999989,"L",0.37,0.537,0.093,1.278,"M",0.097,0.227,0.675,0.422,"L",0.001,0.03,0.969,0.0309999999999999,"L",0,0.012,0.988,0.012,"L",0.017,0.427,0.556,0.461,"L",0,0.009,0.991,0.0089999999999999,"L",0.019,0.259,0.721,0.298,"L",0.003,0.069,0.928,0.0740000000000001,"L",0.002,0.077,0.921,0.081,"L",0.037,0.25,0.712,0.325,"L"
"S329","s15-11",0.005,0.13,0.865,0.139,"L",0.675,0.305,0.02,1.655,"H",0.114,0.238,0.648,0.467,"L",0.047,0.212,0.741,0.306,"L",0,0.013,0.987,0.0129999999999999,"L",0.21,0.63,0.16,1.049,"M",0.017,0.12,0.863,0.153,"L",0.28,0.515,0.206,1.074,"M",0.078,0.301,0.621,0.457,"L",0.032,0.217,0.752,0.28,"L",0.028,0.205,0.767,0.262,"L"
"S326","s15-12",0.062,0.457,0.481,0.582,"L",0.775,0.199,0.026,1.749,"H",0.166,0.271,0.563,0.603,"L",0.092,0.222,0.686,0.407,"L",0.003,0.027,0.969,0.034,"L",0.801,0.185,0.013,1.788,"H",0.012,0.111,0.878,0.134,"L",0.216,0.423,0.361,0.855,"M",0.081,0.253,0.666,0.416,"L",0.088,0.25,0.661,0.427,"L",0.08,0.271,0.649,0.431,"L"
"S338","s15-13",0.008,0.176,0.816,0.192,"L",0.275,0.507,0.218,1.057,"M",0.12,0.242,0.637,0.483,"L",0.015,0.123,0.862,0.152,"L",0.001,0.015,0.984,0.0169999999999999,"L",0.73,0.264,0.006,1.724,"H",0.004,0.062,0.934,0.0700000000000001,"L",0.285,0.511,0.203,1.082,"M",0.02,0.17,0.81,0.21,"L",0.051,0.247,0.702,0.349,"L",0.008,0.11,0.881,0.127,"L"
"S335","s15-14",0.164,0.587,0.249,0.915,"M",0.89,0.104,0.006,1.884,"H",0.203,0.293,0.504,0.7,"L",0.085,0.289,0.626,0.458,"L",0.01,0.074,0.916,0.0940000000000001,"L",0.892,0.106,0.002,1.889,"H",0.106,0.309,0.584,0.522,"L",0.357,0.466,0.177,1.181,"M",0.183,0.38,0.437,0.746,"L",0.237,0.341,0.422,0.815,"L",0.097,0.313,0.59,0.507,"L"
"S337","s15-15",0.001,0.043,0.957,0.044,"L",0.181,0.565,0.253,0.928,"M",0.103,0.231,0.667,0.436,"L",0.006,0.086,0.908,0.0980000000000001,"L",0,0.014,0.986,0.014,"L",0.139,0.664,0.197,0.942,"M",0.003,0.055,0.942,0.0609999999999999,"L",0.092,0.443,0.465,0.628,"L",0.005,0.093,0.902,0.103,"L",0.041,0.272,0.686,0.355,"L",0.006,0.105,0.889,0.116,"L"
"S330","s15-16",0.005,0.156,0.84,0.165,"L",0.259,0.517,0.224,1.034,"M",0.117,0.24,0.642,0.475,"L",0.013,0.117,0.871,0.142,"L",0.001,0.032,0.966,0.0349999999999999,"L",0.769,0.226,0.004,1.765,"H",0.001,0.034,0.964,0.0369999999999999,"L",0.089,0.443,0.468,0.622,"L",0.444,0.382,0.174,1.269,"H",0.002,0.059,0.939,0.0629999999999999,"L",0.035,0.216,0.75,0.285,"L"
"S091","s02-01",0,0.014,0.986,0.014,"L",0.161,0.578,0.261,0.9,"M",0.099,0.228,0.673,0.426,"L",0.001,0.032,0.967,0.0329999999999999,"L",0.014,0.087,0.899,0.115,"L",0.6,0.385,0.015,1.586,"H",0.001,0.033,0.966,0.0349999999999999,"L",0.293,0.506,0.201,1.093,"M",0.077,0.303,0.62,0.457,"L",0.039,0.235,0.725,0.314,"L",0.003,0.08,0.917,0.0860000000000001,"L"
"S075","s02-02",0.322,0.537,0.141,1.181,"M",0.931,0.065,0.003,1.928,"H",0.231,0.306,0.463,0.767,"L",0.305,0.384,0.311,0.994,"M",0.019,0.1,0.88,0.139,"L",0.893,0.104,0.003,1.89,"H",0.183,0.372,0.444,0.739,"L",0.164,0.428,0.408,0.756,"M",0.034,0.212,0.754,0.28,"L",0.268,0.358,0.375,0.893,"L",0.374,0.389,0.237,1.136,"M"
"S074","s02-03",0,0.022,0.978,0.022,"L",0.167,0.574,0.259,0.908,"M",0.1,0.229,0.671,0.429,"L",0.001,0.033,0.966,0.0349999999999999,"L",0,0.011,0.989,0.012,"L",0.764,0.232,0.004,1.76,"H",0.002,0.05,0.947,0.0549999999999999,"L",0.021,0.261,0.717,0.304,"L",0.063,0.283,0.654,0.41,"L",0.081,0.363,0.556,0.525,"L",0.003,0.076,0.921,0.0820000000000001,"L"
"S088","s02-04",0,0.017,0.983,0.0169999999999999,"L",0.635,0.342,0.022,1.613,"H",0.099,0.229,0.672,0.427,"L",0.001,0.032,0.967,0.034,"L",0,0.005,0.995,0.00499999999999989,"L",0.494,0.48,0.026,1.469,"H",0.001,0.024,0.976,0.0249999999999999,"L",0.272,0.52,0.209,1.063,"M",0.017,0.163,0.82,0.198,"L",0.007,0.125,0.867,0.14,"L",0.004,0.086,0.91,0.093,"L"
"S082","s02-05",0,0.041,0.959,0.0409999999999999,"L",0.643,0.335,0.022,1.621,"H",0.102,0.231,0.667,0.435,"L",0.001,0.036,0.963,0.038,"L",0,0.012,0.988,0.012,"L",0.273,0.638,0.089,1.184,"M",0.001,0.029,0.97,0.0309999999999999,"L",0.02,0.26,0.721,0.299,"L",0.025,0.192,0.783,0.241,"L",0.008,0.136,0.856,0.152,"L",0.005,0.098,0.897,0.108,"L"
"S083","s02-06",0,0.024,0.976,0.024,"L",0.168,0.573,0.258,0.91,"M",0.1,0.229,0.671,0.43,"L",0.001,0.033,0.966,0.0349999999999999,"L",0,0.013,0.987,0.0129999999999999,"L",0.117,0.663,0.22,0.897,"M",0.002,0.042,0.956,0.046,"L",0.088,0.443,0.469,0.619,"L",0.014,0.15,0.835,0.179,"L",0.002,0.07,0.928,0.0740000000000001,"L",0.005,0.104,0.891,0.114,"L"
"S086","s02-07",0.553,0.425,0.022,1.532,"H",0.979,0.02,0.001,1.978,"H",0.266,0.322,0.412,0.854,"L",0.653,0.28,0.067,1.586,"H",0.001,0.026,0.972,0.0289999999999999,"L",0.992,0.008,0,1.992,"H",0.159,0.395,0.446,0.712,"L",0.134,0.437,0.428,0.706,"M",0.214,0.39,0.396,0.818,"L",0.223,0.362,0.415,0.807,"L",0.114,0.342,0.544,0.57,"L"
"S087","s02-08",0,0.072,0.927,0.073,"L",0.654,0.325,0.021,1.633,"H",0.106,0.233,0.661,0.446,"L",0.001,0.04,0.959,0.0429999999999999,"L",0.001,0.03,0.968,0.0329999999999999,"L",0.327,0.604,0.069,1.258,"M",0.001,0.038,0.961,0.04,"L",0.024,0.263,0.713,0.311,"L",0.009,0.121,0.87,0.139,"L",0.121,0.397,0.482,0.639,"L",0.005,0.099,0.895,0.11,"L"
"S080","s02-09",0,0.001,0.999,0.00099999999999989,"L",0.153,0.583,0.264,0.889,"M",0.098,0.227,0.675,0.422,"L",0.001,0.03,0.969,0.0309999999999999,"L",0,0.005,0.995,0.00499999999999989,"L",0.115,0.674,0.21,0.905,"M",0,0.017,0.983,0.0169999999999999,"L",0.27,0.521,0.209,1.061,"M",0.031,0.21,0.759,0.271,"L",0.002,0.069,0.929,0.073,"L",0.005,0.099,0.897,0.108,"L"
"S078","s02-10",0,0.053,0.947,0.054,"L",0.399,0.513,0.088,1.311,"M",0.104,0.232,0.665,0.439,"L",0.001,0.037,0.962,0.04,"L",0,0.005,0.995,0.00499999999999989,"L",0.517,0.46,0.023,1.494,"H",0.001,0.028,0.971,0.03,"L",0.088,0.443,0.468,0.62,"L",0.003,0.069,0.928,0.075,"L",0.007,0.126,0.867,0.14,"L",0.027,0.211,0.762,0.265,"L"
"S085","s02-12",0.005,0.195,0.801,0.204,"L",0.48,0.445,0.075,1.406,"H",0.122,0.244,0.634,0.488,"L",0.003,0.058,0.939,0.0640000000000001,"L",0.004,0.063,0.933,0.0720000000000001,"L",0.778,0.217,0.004,1.774,"H",0.003,0.053,0.944,0.0589999999999999,"L",0.022,0.261,0.716,0.306,"L",0.09,0.313,0.597,0.493,"L",0.022,0.184,0.794,0.227,"L",0.105,0.333,0.563,0.542,"L"
"S084","s02-13",0,0.074,0.925,0.075,"L",0.655,0.324,0.021,1.634,"H",0.106,0.233,0.66,0.446,"L",0.001,0.04,0.958,0.0429999999999999,"L",0.006,0.07,0.925,0.081,"L",0.887,0.112,0.001,1.887,"H",0.007,0.08,0.912,0.095,"L",0.022,0.261,0.716,0.306,"L",0.029,0.206,0.765,0.264,"L",0.025,0.215,0.76,0.265,"L",0.023,0.192,0.785,0.238,"L"
"S076","s02-14",0.724,0.266,0.01,1.714,"H",0.988,0.011,0,1.988,"H",0.282,0.328,0.39,0.893,"L",0.716,0.24,0.044,1.672,"H",0.002,0.048,0.95,0.0529999999999999,"L",0.998,0.002,0,1.998,"H",0.48,0.383,0.137,1.344,"H",0.421,0.428,0.151,1.27,"M",0.345,0.398,0.257,1.088,"M",0.492,0.331,0.177,1.315,"H",0.346,0.408,0.247,1.099,"M"
"S081","s02-15",0.002,0.102,0.896,0.106,"L",0.221,0.54,0.238,0.983,"M",0.11,0.236,0.654,0.456,"L",0.002,0.045,0.953,0.048,"L",0,0.013,0.986,0.014,"L",0.523,0.453,0.024,1.498,"H",0.003,0.049,0.948,0.054,"L",0.091,0.443,0.466,0.624,"L",0.007,0.108,0.885,0.122,"L",0.019,0.185,0.796,0.223,"L",0.019,0.171,0.811,0.208,"L"
"S077","s02-16",0.001,0.137,0.862,0.139,"L",0.676,0.304,0.02,1.657,"H",0.114,0.239,0.647,0.467,"L",0.011,0.11,0.879,0.132,"L",0,0.005,0.995,0.00499999999999989,"L",0.76,0.236,0.004,1.755,"H",0.001,0.035,0.964,0.038,"L",0.02,0.26,0.721,0.299,"L",0.003,0.067,0.931,0.0720000000000001,"L",0.008,0.123,0.869,0.139,"L",0.035,0.22,0.746,0.289,"L"
"S089","s02-17",0,0.002,0.998,0.002,"L",0.154,0.582,0.264,0.89,"M",0.098,0.227,0.675,0.423,"L",0.002,0.054,0.944,0.0580000000000001,"L",0.001,0.017,0.983,0.018,"L",0.178,0.686,0.136,1.043,"M",0,0.011,0.989,0.0109999999999999,"L",0.188,0.433,0.379,0.809,"M",0.003,0.076,0.921,0.0820000000000001,"L",0.004,0.101,0.895,0.109,"L",0.016,0.17,0.814,0.202,"L"
"S090","s02-18",0,0.006,0.994,0.00600000000000001,"L",0.156,0.581,0.263,0.894,"M",0.098,0.228,0.674,0.424,"L",0.001,0.031,0.968,0.032,"L",0,0.013,0.987,0.0129999999999999,"L",0.118,0.673,0.209,0.908,"M",0,0.017,0.983,0.0169999999999999,"L",0.088,0.443,0.469,0.619,"L",0.031,0.211,0.758,0.272,"L",0.002,0.069,0.93,0.0720000000000001,"L",0.005,0.099,0.896,0.109,"L"
"S079","s02-19",0.037,0.293,0.67,0.367,"L",0.376,0.442,0.182,1.195,"M",0.141,0.255,0.604,0.537,"L",0.237,0.345,0.417,0.82,"L",0.001,0.017,0.983,0.018,"L",0.524,0.438,0.038,1.486,"H",0.016,0.119,0.865,0.151,"L",0.282,0.514,0.205,1.077,"M",0.082,0.3,0.618,0.464,"L",0.023,0.162,0.814,0.209,"L",0.018,0.15,0.832,0.186,"L"
"S113","s03-01",0.665,0.319,0.016,1.65,"H",0.985,0.015,0,1.984,"H",0.277,0.326,0.398,0.879,"L",0.694,0.254,0.053,1.641,"H",0.018,0.128,0.853,0.165,"L",0.996,0.004,0,1.996,"H",0.273,0.424,0.303,0.971,"M",0.476,0.392,0.132,1.344,"H",0.816,0.165,0.019,1.797,"H",0.628,0.271,0.101,1.527,"H",0.484,0.364,0.152,1.332,"H"
"S101","s03-02",0,0.054,0.945,0.0549999999999999,"L",0.188,0.561,0.251,0.938,"M",0.104,0.232,0.664,0.44,"L",0.001,0.038,0.961,0.04,"L",0,0.005,0.995,0.00499999999999989,"L",0.387,0.565,0.048,1.339,"M",0,0.013,0.986,0.014,"L",0.02,0.259,0.721,0.299,"L",0.008,0.116,0.876,0.133,"L",0.008,0.132,0.86,0.148,"L",0.005,0.097,0.898,0.107,"L"
"S099","s03-03",0.016,0.419,0.565,0.452,"L",0.778,0.209,0.013,1.765,"H",0.152,0.263,0.585,0.567,"L",0.006,0.093,0.9,0.106,"L",0.001,0.032,0.967,0.034,"L",0.528,0.426,0.045,1.483,"H",0.002,0.047,0.951,0.0509999999999999,"L",0.02,0.26,0.719,0.301,"L",0.043,0.241,0.717,0.326,"L",0.005,0.085,0.911,0.0940000000000001,"L",0.019,0.17,0.811,0.208,"L"
"S111","s03-04",0,0.019,0.981,0.0189999999999999,"L",0.636,0.342,0.022,1.613,"H",0.1,0.229,0.672,0.428,"L",0.001,0.033,0.967,0.034,"L",0.006,0.072,0.921,0.085,"L",0.504,0.473,0.024,1.48,"H",0.003,0.053,0.944,0.0580000000000001,"L",0.092,0.443,0.465,0.627,"L",0.007,0.11,0.883,0.124,"L",0.007,0.124,0.868,0.139,"L",0.004,0.086,0.91,0.093,"L"
"S114","s03-05",0.057,0.616,0.327,0.73,"M",0.86,0.132,0.008,1.852,"H",0.184,0.284,0.532,0.652,"L",0.013,0.136,0.852,0.161,"L",0,0.007,0.993,0.0069999999999999,"L",0.903,0.095,0.001,1.902,"H",0.062,0.252,0.685,0.377,"L",0.285,0.512,0.203,1.082,"M",0.432,0.384,0.183,1.249,"H",0.029,0.175,0.796,0.234,"L",0.026,0.196,0.777,0.249,"L"
"S102","s03-06",0.496,0.481,0.023,1.473,"H",0.99,0.01,0,1.99,"H",0.261,0.32,0.419,0.842,"L",0.396,0.396,0.207,1.189,"M",0,0.012,0.988,0.012,"L",0.981,0.019,0,1.981,"H",0.059,0.289,0.652,0.407,"L",0.316,0.493,0.191,1.125,"M",0.747,0.219,0.035,1.712,"H",0.094,0.273,0.633,0.462,"L",0.107,0.33,0.563,0.545,"L"
"S098","s03-07",0,0.004,0.996,0.004,"L",0.372,0.536,0.092,1.28,"M",0.098,0.228,0.675,0.423,"L",0.001,0.031,0.969,0.032,"L",0.002,0.038,0.96,0.0429999999999999,"L",0.029,0.505,0.466,0.562,"M",0,0.009,0.991,0.0089999999999999,"L",0.545,0.394,0.06,1.485,"H",0.003,0.066,0.931,0.071,"L",0.004,0.081,0.916,0.0880000000000001,"L",0.006,0.109,0.885,0.121,"L"
"S100","s03-08",0,0.015,0.985,0.0149999999999999,"L",0.162,0.577,0.261,0.902,"M",0.099,0.228,0.672,0.427,"L",0.001,0.032,0.967,0.034,"L",0,0.011,0.989,0.012,"L",0.19,0.668,0.141,1.049,"M",0.001,0.025,0.974,0.026,"L",0.089,0.443,0.468,0.621,"L",0.128,0.355,0.517,0.61,"L",0.008,0.138,0.854,0.154,"L",0.004,0.095,0.9,0.104,"L"
"S106","s03-09",0.13,0.666,0.204,0.926,"M",0.915,0.08,0.005,1.91,"H",0.206,0.296,0.499,0.707,"L",0.021,0.17,0.809,0.212,"L",0.001,0.026,0.973,0.028,"L",0.965,0.035,0,1.965,"H",0.08,0.288,0.632,0.449,"L",0.569,0.375,0.056,1.513,"H",0.469,0.372,0.159,1.311,"H",0.049,0.199,0.752,0.297,"L",0.142,0.365,0.492,0.65,"L"
"S103","s03-10",0.721,0.268,0.011,1.71,"H",0.985,0.014,0.001,1.984,"H",0.282,0.328,0.39,0.892,"L",0.715,0.24,0.045,1.67,"H",0.063,0.182,0.756,0.307,"L",0.978,0.021,0.001,1.977,"H",0.039,0.267,0.694,0.345,"L",0.448,0.407,0.146,1.302,"H",0.659,0.27,0.072,1.587,"H",0.291,0.344,0.365,0.927,"L",0.294,0.411,0.295,0.999,"M"
"S110","s03-11",0.935,0.064,0.001,1.934,"H",0.997,0.003,0,1.997,"H",0.302,0.334,0.363,0.939,"L",0.792,0.189,0.018,1.774,"H",0.001,0.032,0.968,0.0329999999999999,"L",1,0,0,2,"H",0.242,0.464,0.295,0.947,"M",0.686,0.276,0.037,1.649,"H",0.696,0.255,0.049,1.647,"H",0.501,0.332,0.167,1.334,"H",0.618,0.312,0.071,1.547,"H"
"S107","s03-12",0,0.007,0.993,0.0069999999999999,"L",0.373,0.535,0.092,1.281,"M",0.098,0.228,0.674,0.424,"L",0.001,0.031,0.968,0.032,"L",0,0.015,0.985,0.0149999999999999,"L",0.059,0.608,0.332,0.727,"M",0,0.019,0.98,0.02,"L",0.02,0.259,0.721,0.298,"L",0.006,0.101,0.893,0.113,"L",0.002,0.072,0.926,0.0760000000000001,"L",0.005,0.105,0.889,0.116,"L"
"S109","s03-13",0.426,0.511,0.063,1.362,"M",0.961,0.037,0.002,1.959,"H",0.249,0.315,0.435,0.814,"L",0.594,0.307,0.099,1.495,"H",0.002,0.035,0.963,0.0389999999999999,"L",0.897,0.098,0.005,1.893,"H",0.04,0.248,0.712,0.328,"L",0.03,0.268,0.702,0.328,"L",0.186,0.381,0.433,0.754,"L",0.118,0.319,0.563,0.555,"L",0.204,0.384,0.412,0.792,"L"
"S112","s03-14",0.383,0.554,0.063,1.321,"M",0.952,0.044,0.004,1.948,"H",0.246,0.314,0.44,0.805,"L",0.527,0.331,0.142,1.386,"H",0.005,0.038,0.957,0.048,"L",0.981,0.019,0,1.98,"H",0.089,0.318,0.593,0.496,"L",0.258,0.408,0.335,0.923,"M",0.7,0.25,0.05,1.65,"H",0.206,0.34,0.454,0.751,"L",0.081,0.296,0.623,0.458,"L"
"S105","s03-15",0.002,0.165,0.833,0.168,"L",0.686,0.295,0.019,1.667,"H",0.118,0.241,0.641,0.476,"L",0.002,0.053,0.944,0.0580000000000001,"L",0.001,0.032,0.967,0.034,"L",0.446,0.512,0.042,1.403,"M",0,0.02,0.98,0.02,"L",0.02,0.26,0.719,0.301,"L",0.01,0.128,0.862,0.148,"L",0.011,0.142,0.847,0.164,"L",0.008,0.117,0.874,0.134,"L"
"S104","s03-16",0,0.001,0.999,0.00099999999999989,"L",0.153,0.583,0.264,0.889,"M",0.097,0.227,0.675,0.422,"L",0.001,0.03,0.969,0.0309999999999999,"L",0,0.012,0.988,0.012,"L",0.064,0.623,0.312,0.752,"M",0,0.008,0.992,0.00800000000000001,"L",0.019,0.259,0.721,0.298,"L",0.014,0.147,0.839,0.175,"L",0.002,0.071,0.927,0.075,"L",0.005,0.103,0.892,0.113,"L"
"S108","s03-17",0.737,0.252,0.011,1.726,"H",0.988,0.011,0,1.988,"H",0.284,0.328,0.388,0.895,"L",0.72,0.237,0.043,1.677,"H",0.001,0.02,0.98,0.0209999999999999,"L",0.992,0.008,0,1.992,"H",0.191,0.422,0.387,0.804,"M",0.135,0.438,0.427,0.708,"M",0.611,0.301,0.088,1.523,"H",0.223,0.367,0.41,0.813,"L",0.754,0.196,0.05,1.703,"H"
"S097","s03-18",0.293,0.629,0.078,1.215,"M",0.952,0.046,0.002,1.95,"H",0.236,0.31,0.454,0.782,"L",0.037,0.227,0.735,0.302,"L",0.005,0.053,0.942,0.0629999999999999,"L",0.971,0.029,0,1.97,"H",0.244,0.399,0.357,0.887,"M",0.129,0.437,0.434,0.694,"M",0.25,0.402,0.348,0.901,"M",0.153,0.326,0.521,0.632,"L",0.066,0.279,0.655,0.411,"L"
"S129","s04-01",0.897,0.102,0.001,1.896,"H",0.996,0.003,0,1.996,"H",0.299,0.333,0.368,0.931,"L",0.779,0.199,0.022,1.757,"H",0.003,0.048,0.949,0.0529999999999999,"L",1,0,0,2,"H",0.166,0.439,0.396,0.77,"M",0.393,0.445,0.162,1.231,"M",0.586,0.321,0.093,1.492,"H",0.325,0.373,0.302,1.022,"M",0.705,0.251,0.044,1.661,"H"
"S128","s04-02",0.107,0.562,0.331,0.776,"M",0.86,0.132,0.008,1.852,"H",0.188,0.285,0.527,0.661,"L",0.184,0.356,0.46,0.724,"L",0.002,0.035,0.963,0.0389999999999999,"L",0.828,0.167,0.005,1.822,"H",0.015,0.138,0.848,0.167,"L",0.107,0.441,0.453,0.654,"L",0.193,0.384,0.423,0.77,"L",0.072,0.257,0.672,0.4,"L",0.093,0.309,0.598,0.496,"L"
"S120","s04-03",0.097,0.634,0.269,0.829,"M",0.881,0.112,0.006,1.875,"H",0.195,0.29,0.515,0.68,"L",0.066,0.274,0.66,0.406,"L",0.002,0.038,0.959,0.0429999999999999,"L",0.916,0.082,0.001,1.915,"H",0.075,0.273,0.652,0.423,"L",0.101,0.442,0.458,0.643,"L",0.457,0.376,0.167,1.29,"H",0.031,0.182,0.787,0.244,"L",0.034,0.213,0.753,0.281,"L"
"S136","s04-04",0.923,0.076,0.001,1.922,"H",0.997,0.003,0,1.997,"H",0.301,0.334,0.365,0.937,"L",0.788,0.192,0.019,1.769,"H",0.01,0.08,0.91,0.1,"L",1,0,0,2,"H",0.216,0.455,0.329,0.886,"M",0.184,0.427,0.389,0.795,"M",0.86,0.129,0.011,1.85,"H",0.386,0.376,0.238,1.148,"H",0.574,0.331,0.095,1.478,"H"
"S122","s04-05",0.505,0.462,0.033,1.473,"H",0.974,0.025,0.001,1.973,"H",0.26,0.32,0.42,0.84,"L",0.633,0.291,0.077,1.556,"H",0.001,0.024,0.975,0.026,"L",0.99,0.01,0,1.99,"H",0.061,0.295,0.644,0.417,"L",0.318,0.491,0.191,1.127,"M",0.478,0.365,0.157,1.322,"H",0.087,0.265,0.648,0.439,"L",0.557,0.331,0.112,1.445,"H"
