"SubjID","AltID","P.sgp..H","P.sgp..M","P.sgp..L","EAP.sgp","MAP.sgp","P.cr..H","P.cr..M","P.cr..L","EAP.cr","MAP.cr","P.dt..H","P.dt..M","P.dt..L","EAP.dt","MAP.dt","P.eg..H","P.eg..M","P.eg..L","EAP.eg","MAP.eg","P.exp..H","P.exp..M","P.exp..L","EAP.exp","MAP.exp","P.ext..H","P.ext..M","P.ext..L","EAP.ext","MAP.ext","P.mod..H","P.mod..M","P.mod..L","EAP.mod","MAP.mod","P.rr..H","P.rr..M","P.rr..L","EAP.rr","MAP.rr","P.tab..H","P.tab..M","P.tab..L","EAP.tab","MAP.tab","P.vr..H","P.vr..M","P.vr..L","EAP.vr","MAP.vr","P.pic..H","P.pic..M","P.pic..L","EAP.pic","MAP.pic"
"S251","s11-12",0.002,0.113,0.885,0.116,"L",0.668,0.311,0.02,1.648,"H",0.111,0.237,0.652,0.459,"L",0.002,0.046,0.952,0.05,"L",0.007,0.068,0.925,0.081,"L",0.394,0.552,0.054,1.339,"M",0.012,0.104,0.884,0.128,"L",0.097,0.442,0.461,0.636,"L",0.057,0.27,0.673,0.385,"L",0.025,0.199,0.776,0.249,"L",0.022,0.187,0.791,0.231,"L"
"S250","s11-13",0.005,0.295,0.7,0.305,"L",0.873,0.124,0.003,1.869,"H",0.134,0.252,0.614,0.52,"L",0.004,0.072,0.924,0.0800000000000001,"L",0,0.016,0.984,0.0169999999999999,"L",0.596,0.383,0.021,1.575,"H",0.013,0.112,0.876,0.137,"L",0.279,0.515,0.206,1.073,"M",0.013,0.142,0.846,0.167,"L",0.018,0.152,0.83,0.188,"L",0.012,0.137,0.851,0.161,"L"
"S259","s11-14",0.162,0.633,0.206,0.956,"M",0.905,0.091,0.005,1.9,"H",0.208,0.296,0.495,0.713,"L",0.229,0.386,0.386,0.843,"L",0.001,0.028,0.971,0.03,"L",0.968,0.032,0,1.967,"H",0.212,0.367,0.421,0.791,"L",0.32,0.49,0.19,1.13,"M",0.053,0.256,0.69,0.363,"L",0.134,0.302,0.565,0.569,"L",0.044,0.236,0.72,0.325,"L"
"S256","s11-15",0,0.005,0.995,0.00499999999999989,"L",0.372,0.536,0.092,1.28,"M",0.098,0.228,0.675,0.423,"L",0.001,0.031,0.969,0.032,"L",0.001,0.02,0.979,0.022,"L",0.028,0.498,0.474,0.553,"M",0,0.015,0.984,0.016,"L",0.089,0.443,0.467,0.622,"L",0.003,0.066,0.931,0.0720000000000001,"L",0.011,0.159,0.83,0.181,"L",0.006,0.109,0.885,0.121,"L"
"S284","s12-01",0,0,1,0,"L",0.153,0.583,0.264,0.888,"M",0.097,0.227,0.675,0.422,"L",0.001,0.03,0.969,0.0309999999999999,"L",0,0.012,0.988,0.012,"L",0.027,0.505,0.467,0.56,"M",0,0.009,0.991,0.0089999999999999,"L",0.019,0.259,0.721,0.298,"L",0.002,0.066,0.931,0.071,"L",0.002,0.075,0.923,0.0800000000000001,"L",0.006,0.109,0.886,0.12,"L"
"S283","s12-02",0,0.007,0.993,0.0069999999999999,"L",0.157,0.58,0.263,0.894,"M",0.098,0.228,0.674,0.424,"L",0.001,0.031,0.968,0.032,"L",0,0.014,0.986,0.0149999999999999,"L",0.146,0.685,0.169,0.978,"M",0.001,0.029,0.97,0.03,"L",0.273,0.519,0.208,1.065,"M",0.005,0.088,0.908,0.097,"L",0.01,0.144,0.846,0.164,"L",0.005,0.098,0.898,0.107,"L"
"S273","s12-03",0,0.005,0.995,0.00499999999999989,"L",0.156,0.581,0.263,0.893,"M",0.098,0.228,0.674,0.423,"L",0.001,0.031,0.969,0.032,"L",0,0.012,0.988,0.012,"L",0.076,0.641,0.283,0.793,"M",0,0.023,0.977,0.024,"L",0.092,0.443,0.465,0.626,"L",0.002,0.058,0.94,0.0620000000000001,"L",0.04,0.277,0.683,0.358,"L",0.005,0.102,0.894,0.111,"L"
"S285","s12-04",0,0.001,0.999,0.00099999999999989,"L",0.153,0.583,0.264,0.889,"M",0.097,0.227,0.675,0.422,"L",0.001,0.03,0.969,0.0309999999999999,"L",0.001,0.032,0.967,0.034,"L",0.063,0.623,0.313,0.75,"M",0,0.023,0.977,0.024,"L",0.021,0.261,0.718,0.303,"L",0.002,0.059,0.939,0.0629999999999999,"L",0.038,0.278,0.683,0.355,"L",0.005,0.102,0.893,0.112,"L"
"S272","s12-05",0.019,0.19,0.792,0.227,"L",0.44,0.452,0.109,1.331,"M",0.124,0.245,0.631,0.493,"L",0.04,0.142,0.818,0.222,"L",0.002,0.02,0.978,0.024,"L",0.362,0.533,0.105,1.257,"M",0.007,0.059,0.933,0.0740000000000001,"L",0.195,0.431,0.374,0.821,"M",0.013,0.113,0.874,0.139,"L",0.021,0.164,0.815,0.207,"L",0.1,0.288,0.611,0.489,"L"
"S274","s12-06",0,0.001,0.999,0.00099999999999989,"L",0.153,0.583,0.264,0.889,"M",0.097,0.227,0.675,0.422,"L",0.004,0.075,0.921,0.0820000000000001,"L",0,0.012,0.988,0.0129999999999999,"L",0.02,0.453,0.527,0.493,"L",0.001,0.025,0.974,0.0269999999999999,"L",0.092,0.443,0.465,0.627,"L",0.003,0.068,0.93,0.073,"L",0.046,0.293,0.66,0.386,"L",0.006,0.109,0.885,0.12,"L"
