ItemID,T001,T002,T003,T004,T005,T006,T007,T008,T009,T010,T011,T012,T013,T014,T015,T016,T017,T018,T019,T020,T021,T022,T023,T024,T025
S159,0,0,1,0,0,0,1,1,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1
S172,0,1,0,1,1,-999,0,1,0,1,1,0,1,1,1,1,0,0,0,1,0,1,0,1,0
S175,0,0,1,1,0,0,1,0,0,1,1,0,0,1,0,1,0,0,0,1,1,0,-999,-999,-999
S174,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,1,1,1,0,0,1,1,0
S167,0,0,1,0,-999,-999,0,-999,0,1,-999,0,0,0,1,0,1,0,0,1,0,0,-999,-999,-999
S165,0,0,0,0,0,0,0,1,0,1,0,1,1,1,0,0,0,0,0,1,0,0,0,1,0
S157,1,0,1,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
S181,0,1,1,0,0,0,1,1,0,0,1,1,0,0,0,0,1,0,1,1,0,0,0,1,0
S179,0,1,1,1,0,0,0,1,0,1,1,0,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
S177,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
S189,0,1,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0
S192,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,1
S187,1,0,1,1,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,0,0
S185,0,0,0,0,0,0,0,1,0,1,1,0,0,0,1,0,0,1,0,0,0,0,1,0,0
S190,0,0,-999,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,1,0,0,1
S183,0,1,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1
S196,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,-999,-999,-999,-999,-999,-999,-999
S194,0,0,1,0,1,0,-999,0,0,1,1,-999,-999,-999,1,-999,0,-999,-999,-999,-999,-999,-999,-999,-999
S198,0,1,1,0,0,1,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0
S200,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,1,0,0,0
S207,0,1,1,0,1,0,1,0,0,0,1,0,0,1,0,1,1,0,1,1,0,0,0,1,1
S202,0,0,-999,1,0,0,0,0,0,1,1,0,0,0,1,0,-999,-999,-999,-999,-999,-999,-999,-999,-999
S205,0,0,-999,0,1,1,0,1,0,1,0,0,0,1,0,1,1,0,1,1,0,0,0,1,0
S204,1,1,1,1,0,1,0,1,0,1,1,0,0,0,0,1,0,0,-999,-999,-999,-999,-999,-999,-999
S212,0,0,1,1,0,0,0,1,0,1,1,0,0,1,0,0,1,0,1,1,0,0,1,1,0
S210,1,0,1,0,0,0,0,1,0,1,1,0,0,0,0,0,1,1,1,-999,-999,-999,-999,-999,-999
S208,1,1,0,0,0,1,0,1,0,1,1,0,0,1,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
S214,1,-999,0,0,-999,1,0,0,0,1,1,0,0,0,0,0,0,1,1,1,0,1,-999,-999,-999
S222,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,-999,-999,0,0,1
S220,1,1,1,0,1,0,1,0,0,1,1,1,0,1,1,0,0,1,1,1,0,0,0,1,0
S226,1,1,1,0,1,0,1,1,0,1,1,0,0,1,1,0,0,0,1,0,0,0,1,1,0
S218,1,0,1,-999,-999,-999,1,1,0,1,1,0,0,0,1,0,1,1,1,1,0,1,0,0,0
S216,0,1,1,1,1,1,1,1,0,1,1,0,0,1,1,0,0,0,1,0,0,0,0,1,0
S224,0,1,0,0,0,0,1,0,0,0,1,0,0,1,1,0,0,0,1,0,0,0,0,1,0
S246,1,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,-999,0,0,-999
S236,0,0,1,0,0,1,1,1,0,1,1,0,0,1,0,0,0,1,1,0,0,0,1,0,1
S234,1,0,1,0,0,0,1,0,0,1,1,0,0,1,0,0,0,0,0,1,0,1,0,0,0
S228,1,1,0,1,1,0,0,1,0,1,1,0,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
S244,1,1,1,1,1,1,1,1,0,1,0,0,0,1,1,0,0,1,1,1,0,0,1,0,0
S230,1,0,1,0,0,0,1,0,0,1,1,0,0,0,1,0,0,0,-999,-999,-999,-999,-999,-999,-999
S232,0,0,1,0,1,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0
S238,1,1,0,0,0,0,0,0,0,0,0,1,0,1,0,1,1,0,0,1,1,1,-999,-999,-999
S242,1,1,1,0,1,0,1,0,0,1,-999,0,0,-999,0,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
S240,1,1,1,0,0,0,1,0,0,1,1,1,0,1,1,0,0,0,0,-999,-999,-999,-999,-999,-999
S248,1,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,1,0,0,0,1,1,0
S259,1,1,1,1,1,1,0,0,0,1,0,0,0,1,1,0,0,0,1,1,0,0,1,0,0
S261,0,0,1,0,0,0,1,0,0,1,1,0,0,1,0,0,0,0,1,1,0,0,0,1,1
S263,0,0,1,1,1,1,0,1,0,1,1,0,0,0,-999,0,0,1,1,1,0,1,0,0,0
S268,0,1,0,1,1,1,1,1,0,1,1,0,0,1,1,0,0,0,0,1,-999,-999,-999,-999,-999
S257,0,1,1,0,1,0,1,1,0,1,0,0,1,1,0,0,1,0,0,1,0,1,1,0,0
S266,0,0,1,1,0,1,0,0,0,1,1,0,0,1,0,0,0,1,0,1,1,0,0,0,0
S255,1,0,1,0,0,1,1,1,0,1,0,0,0,0,0,1,0,-999,0,1,0,0,0,0,0
S264,1,0,1,0,0,1,0,0,0,1,1,0,0,1,0,1,0,0,1,1,0,0,1,0,1
S253,1,0,1,0,1,1,0,1,0,1,1,1,0,1,0,0,0,0,1,0,-999,-999,-999,-999,-999
S251,0,1,1,0,0,0,0,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
S249,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,1
S275,0,-999,-999,-999,-999,-999,-999,-999,0,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
S271,0,1,-999,-999,0,0,1,0,0,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
S286,0,0,0,0,0,0,0,0,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
S269,0,-999,0,1,1,0,1,-999,0,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
S279,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
S281,0,1,1,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
S285,1,1,1,0,0,1,0,1,0,0,1,1,0,1,0,0,0,0,1,0,-999,-999,-999,-999,-999
S290,0,0,-999,-999,0,0,1,1,0,-999,-999,0,0,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
S283,0,0,1,0,0,0,1,1,0,1,1,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
S273,0,0,-999,0,1,0,-999,-999,0,0,1,0,0,0,0,0,0,0,-999,-999,-999,-999,-999,-999,-999
S277,0,0,1,0,0,0,0,0,0,1,1,0,0,1,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
S288,0,0,0,0,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
S313,1,0,0,0,1,0,0,1,0,1,1,0,0,1,0,0,0,-999,-999,-999,-999,-999,-999,-999,-999
S295,0,0,0,0,0,0,1,0,0,0,1,1,0,0,1,0,0,1,0,0,0,0,1,0,0
S293,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,1,0,0,0,0,1
S291,0,1,1,0,0,1,1,0,0,1,0,0,-999,0,0,1,0,0,0,0,0,0,0,0,1
S303,1,1,1,0,0,0,0,0,1,1,0,0,0,0,1,0,0,-999,-999,-999,-999,-999,-999,-999,-999
S307,1,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,1,0,-999,-999,-999,-999,-999
S309,0,0,-999,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,1,1,0,0,0,0,0
S314,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,-999,-999,-999
S301,1,0,1,1,1,1,1,1,0,1,1,0,0,0,0,0,-999,-999,-999,-999,-999,-999,-999,-999,-999
S305,0,0,1,1,0,0,0,1,0,1,1,1,0,0,1,0,0,0,1,0,0,1,0,1,0
S297,0,0,-999,0,1,1,-999,0,0,1,0,-999,0,1,1,1,0,0,0,0,0,0,-999,-999,-999
S311,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,1,1,0,0,-999,-999
S299,1,1,0,0,0,1,0,0,0,0,1,0,0,1,0,1,1,0,0,0,1,0,0,0,0
S315,0,0,1,1,1,0,0,0,0,1,0,0,0,0,0,1,1,0,1,0,1,0,1,0,1
S317,0,1,1,1,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,1,0,0,-999,-999,-999
S321,0,-999,-999,0,-999,-999,-999,-999,0,0,-999,-999,-999,-999,0,-999,0,-999,-999,-999,0,1,1,0,0
S319,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0
S323,1,0,1,0,0,0,0,0,0,1,1,0,0,1,0,1,0,1,0,1,0,0,0,0,1
S327,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,-999,-999,-999,-999
S339,-999,-999,-999,0,-999,-999,0,0,0,0,0,1,0,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
S325,0,1,1,0,0,0,1,0,1,1,1,1,0,1,1,0,0,0,1,1,0,0,0,0,0
S331,1,1,1,0,0,0,0,0,0,0,1,0,1,1,0,0,1,0,0,0,0,0,1,1,0
S341,0,1,1,0,0,1,0,0,0,1,1,0,0,1,1,0,0,0,0,1,0,0,1,0,0
S329,1,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,1,0,0,1
S335,1,0,1,1,0,0,1,1,0,1,1,0,0,0,0,0,0,1,1,1,0,0,0,1,1
S333,1,1,1,0,1,0,0,1,0,1,1,0,0,1,1,1,1,0,1,0,0,0,1,0,1
S337,0,0,1,0,0,0,1,0,0,1,1,0,1,1,0,0,0,0,-999,-999,-999,-999,-999,-999,-999
